artist_a,artist_b,shared_track_count,shared_tracks,shared_labels,source_urls,notes
Gerd Janson,Lakuti,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Gerd Janson,Marcel Dettmann,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Gerd Janson,PARAMIDA,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Gerd Janson,Roi Perez,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Gerd Janson,Soundstream,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Lakuti,Marcel Dettmann,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Lakuti,PARAMIDA,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Lakuti,Roi Perez,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Lakuti,Soundstream,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Marcel Dettmann,PARAMIDA,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Marcel Dettmann,Roi Perez,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Marcel Dettmann,Soundstream,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
PARAMIDA,Roi Perez,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
PARAMIDA,Soundstream,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
Roi Perez,Soundstream,1,Barker — Utility,Ostgut Ton,https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,exact shared tracks between top-50 artists
