label,track_count,set_count,played_by_artists,source_count,notes
Unknown Label,17,11,André Galluzzi; Gerd Janson; Marcel Dettmann; Nick Höppner; PARAMIDA; Roi Perez; Soundstream; nd_baumecker,11,aggregated from imported tracklist rows
Ostgut Ton,16,8,Gerd Janson; Lakuti; Marcel Dettmann; PARAMIDA; Roi Perez; Soundstream; Virginia; nd_baumecker,8,aggregated from imported tracklist rows
Belief System,4,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Rekids,4,4,Lakuti; Marcel Dettmann,4,aggregated from imported tracklist rows
Tectonic,3,2,Marcel Dettmann; nd_baumecker,2,aggregated from imported tracklist rows
50 WEAPONS,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
AADJA,2,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Allergy Season,2,2,Gerd Janson; Marcel Dettmann,2,aggregated from imported tracklist rows
Alter Ego Recordings,2,2,Marcel Dettmann; nd_baumecker,2,aggregated from imported tracklist rows
Blueprint Records,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Cheap Classics,2,2,Nick Höppner; nd_baumecker,2,aggregated from imported tracklist rows
Clone Basement Series,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Clone Jack For Daze Series,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Clone West Coast Series,2,1,Virginia,1,aggregated from imported tracklist rows
Decision Making Theory,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Klakson,2,1,Virginia,1,aggregated from imported tracklist rows
M-Plant,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Music Man Records,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Poker Flat Recordings,2,2,Marcel Dettmann; nd_baumecker,2,aggregated from imported tracklist rows
Saved Records,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Soma Records,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
The Hell Experience,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Theory,2,2,Marcel Dettmann,2,aggregated from imported tracklist rows
Voitax,2,1,Virginia,1,aggregated from imported tracklist rows
brokntoys,2,2,Gerd Janson; Virginia,2,aggregated from imported tracklist rows
012,1,1,Gerd Janson,1,aggregated from imported tracklist rows
AEVA,1,1,Roi Perez,1,aggregated from imported tracklist rows
AFU Limited,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
ARTS,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Afrika Bambaataa,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Aniara Recordings,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Antonelli,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Armada Music,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Arsenik Records,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Athens Of The North,1,1,Gerd Janson,1,aggregated from imported tracklist rows
Aus Music,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
BAKK,1,1,Virginia,1,aggregated from imported tracklist rows
BLANK CODE,1,1,André Galluzzi,1,aggregated from imported tracklist rows
BPitch Control,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Bad Manners,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Banoffee Pies,1,1,Nick Höppner,1,aggregated from imported tracklist rows
Bass Agenda Recordings,1,1,Virginia,1,aggregated from imported tracklist rows
Big Beak Recordings,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Blackflag Recordings,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Bukaddor & Fishbeck,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Butter Side Up,1,1,Nick Höppner,1,aggregated from imported tracklist rows
Casa Voyager,1,1,Virginia,1,aggregated from imported tracklist rows
Cease & Desist,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Chris Carter,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Claudja Barry,1,1,PARAMIDA,1,aggregated from imported tracklist rows
Clone,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Compost,1,1,Nick Höppner,1,aggregated from imported tracklist rows
Creme Organization,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Cultivated Electronics,1,1,Virginia,1,aggregated from imported tracklist rows
Cyclical Tracks,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
DJ Rush,1,1,Soundstream,1,aggregated from imported tracklist rows
DUB Recordings,1,1,Gerd Janson,1,aggregated from imported tracklist rows
Defected Records,1,1,André Galluzzi,1,aggregated from imported tracklist rows
Dinky,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Do Hits,1,1,Nick Höppner,1,aggregated from imported tracklist rows
Dominik Eulberg,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Dopewax Records,1,1,Soundstream,1,aggregated from imported tracklist rows
Downwards,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Elastic Dreams,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Endlec,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Engoli,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Equalized,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Faith Beat,1,1,André Galluzzi,1,aggregated from imported tracklist rows
Fall Forward,1,1,Gerd Janson,1,aggregated from imported tracklist rows
Firehouse,1,1,PARAMIDA,1,aggregated from imported tracklist rows
Flinsch 'n' Nielson,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Free For All,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Frustrated Funk,1,1,Virginia,1,aggregated from imported tracklist rows
Future Times Records,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Geej Recording Inc.,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Guidance,1,1,André Galluzzi,1,aggregated from imported tracklist rows
Heavenly Recordings,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Ibadan Records,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Ilian Tape,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
InHouse Records,1,1,André Galluzzi,1,aggregated from imported tracklist rows
Irma Records,1,1,PARAMIDA,1,aggregated from imported tracklist rows
John Thomas,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Kanzleramt Music,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Karlovak Recordings,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Kate Simko,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Klasse Wrecks,1,1,Virginia,1,aggregated from imported tracklist rows
Klon Dump,1,1,Nick Höppner,1,aggregated from imported tracklist rows
Kontra Musik,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Lidell Townsell,1,1,PARAMIDA,1,aggregated from imported tracklist rows
Liquid Earth,1,1,PARAMIDA,1,aggregated from imported tracklist rows
MB Elektronics,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
MORD,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Mad Eye,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Main Street,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Markus Fix,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Misc.,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Mixed Signals,1,1,Lakuti,1,aggregated from imported tracklist rows
Mobilee Records,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Mostiko,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Music Man,1,1,nd_baumecker,1,aggregated from imported tracklist rows
My My,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
New State Music,1,1,Lakuti,1,aggregated from imported tracklist rows
Nhar,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Oaks,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Orbital,1,1,Roi Perez,1,aggregated from imported tracklist rows
PLANCHA,1,1,Gerd Janson,1,aggregated from imported tracklist rows
PLG UK Frontline,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Pacific Rhythm,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Pan-Pot,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Permanent Vacation,1,1,PARAMIDA,1,aggregated from imported tracklist rows
Perpetual Rhythms,1,1,nd_baumecker,1,aggregated from imported tracklist rows
Phoenix G,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Planet Sundae,1,1,Nick Höppner,1,aggregated from imported tracklist rows
Power House,1,1,Ryan Elliott,1,aggregated from imported tracklist rows
Prescription,1,1,Lakuti,1,aggregated from imported tracklist rows
Pressure Drop,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Projekts,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Renegade Methodz,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Resopal Red,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
Run Stop Restore,1,1,Marcel Dettmann,1,aggregated from imported tracklist rows
