Rank,Artist,Appearances,PrimaryRoom
1,nd_baumecker,17,Panorama Bar
2,Mike Starr,12,Panorama Bar
3,Richard Akingbehin,12,Panorama Bar
4,Gabrielle Kwarteng,11,Panorama Bar
5,BASHKKA,11,Panorama Bar
6,PARAMIDA,11,Panorama Bar
7,Gerd Janson,11,Panorama Bar
8,Massimiliano Pagliara,10,Panorama Bar
9,Roi Perez,10,Panorama Bar
10,Soundstream,10,Panorama Bar
11,Cinthie,10,Panorama Bar
12,Cormac,9,Panorama Bar
13,Ogazón,9,Panorama Bar
14,Victor,9,Panorama Bar
15,André Galluzzi,9,Panorama Bar
16,Alinka,8,Panorama Bar
17,Sedef Adasï,8,Panorama Bar
18,Nick Höppner,8,Panorama Bar
19,Stacey Hotwaxx Hale,8,Panorama Bar
20,Virginia,8,Panorama Bar
21,Marie Montexier,8,Panorama Bar
22,Tijana T,8,Panorama Bar
23,Nathalie Seres,7,Panorama Bar
24,Chloé,7,Panorama Bar
25,Kikelomo,7,Panorama Bar
26,Budino,7,Panorama Bar
27,Paquita Gordon,7,Panorama Bar
28,Natalie Robinson,6,Panorama Bar
29,Zombies In Miami,6,Panorama Bar
30,Partok,6,Panorama Bar
31,Ed Davenport,6,Panorama Bar
32,Lakuti,6,Panorama Bar
33,Steffi,6,Panorama Bar
34,Paula Tape,6,Panorama Bar
35,Naomi,6,Panorama Bar
36,Âme,5,Panorama Bar
37,Tama Sumo,5,Panorama Bar
38,Avalon Emerson,5,Panorama Bar
39,DJ Holographic,5,Panorama Bar
40,Hiroko Yamamura,5,Panorama Bar
41,Binh,5,Panorama Bar
42,Yamour,5,Panorama Bar
43,Radio Slave,5,Panorama Bar
44,Oracy,5,Panorama Bar
45,Katy De Jesus,5,Panorama Bar
46,Loren,5,Panorama Bar
47,Franziska Berns,5,Panorama Bar
48,Ryan Elliott,5,Panorama Bar
49,Abajour,4,Panorama Bar
50,Marcel Dettmann,4,Panorama Bar
