track_title,track_artist,label,release,top50_acts,act_count,source_platforms,source_urls,confidence,notes
"Flow","A3000","Disturbance","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Space Is The Place (Intergalactic Ambient Mix)","The Irresistible Force","Cyclotron","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Outer Limits","Bliss Inc.","Magicwire","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Look To The Future","Vista","Synthetique","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Oolong Trance (Paradise Mix)","Alex Kassian","Love On The Rocks","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 lists this as upcoming/forthcoming at the source date."
"Untitled A1","3 In Key","Eye 4 Sound","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"The Gong Of Love","Agent Orange feat. Alexi Delano","Loop Records","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Theme From Daisy Glow (C-Level Mix)","Daisy Glow","ZoëMagik Records","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"State Of Mind (Slack Mix) (Alex Kassian Remix)","Peyote Dreams","Love On The Rocks","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 lists this as upcoming/forthcoming at the source date."
"Systematic Input","Frequency","Lower East Side Records","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"My Jupiter Rox's","Scott Smith, Scott Featherstone (Glorious Springtime)","Deeper Audio Cuts","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Waiting For The Lights (Telephones Re-Edit)","High Lonesome Sound System","","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Start Again","Tornado Wallace","CockTail d'Amore Music","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Silence","Acorn Arts","X-Gate Records","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 tracklist verified by Resident Advisor and MixesDB."
"Oolong Trance (Telephones' ADHD Mix)","Alex Kassian","Love On The Rocks","","Paramida","1","Resident Advisor; MixesDB","https://ra.co/podcast/723; https://www.mixesdb.com/w/2020-04-06_-_Paramida_-_Resident_Advisor_(RA.723)","Medium","RA.723 lists this as upcoming/forthcoming at the source date."
"Woodsmoke","Phoenix Jig","Pantunes","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Tequila Mockingbird","DJ's Friend","Slippery When Wet","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Bodyshaper","O.D.D.","Mulatto","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"B'N'D","Stress Groove","Domo","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Flash","Naghachian","Frankfurt Beat","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Dirty Tune (In Da House Mix)","Intonation","Braintist","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"People Get High (Boxcar Original Mix)","Boxcar","Pulse-8","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Vi Hoppas På Det Bästa","La Cienda Honduras","Gungeligung","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Verdient (Lutz Markwirth & Q-Swap B-Flat's Deep Stompin')","Grooveminister","BMG","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Old News","Random Factor","20:20 Vision","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Evil Dread","Kasjmir","Spiritual","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Morrohdinger","Ulysses","Plastic City Suburbia","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Work It Out (DJ Rico Remix)","DRC & Chris Demetras","","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","MixesDB marks this slot as Imix."
"Dirty Tune","Intonation","Braintist","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
"Another Night, The Stars And Me...","Discode","Stereophonic Elefant Dance","","Paramida","1","MixesDB","https://www.mixesdb.com/w/2024-03-09_-_Paramida_-_Essential_Mix","Medium","Paramida Essential Mix 2024-03-09 tracklist."
