SetURL,Artist,Date,Venue,Room,TrackCount,Duration,CoverageStatus,CoverageNote,Status
https://trackid.net/audiostreams/20050310-nd-baumecker-smegma-berghain-berlin,nd_baumecker,2026-04-17,Berghain,Berghain,15,01:12:50,good_coverage,15 tracks over 01:12:50 (~12.4 identified tracks/hour),imported
https://trackid.net/audiostreams/panorama-bar-07-ndbaumecker,nd_baumecker,2018-10-10,Panorama Bar,Panorama Bar,19,01:59:04,good_coverage,19 tracks over 01:59:04 (~9.6 identified tracks/hour),imported
https://trackid.net/audiostreams/paramida-x-massimiliano-pagliara-ostgut-ton-halle-am-berghain-live-arteconcert,PARAMIDA,2021-08-24,Berghain,Berghain,10,01:03:24,good_coverage,10 tracks over 01:03:24 (~9.5 identified tracks/hour),imported
https://trackid.net/audiostreams/answer-code-request-x-gerd-janson-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,Gerd Janson,2021-08-28,Berghain,Berghain,13,01:02:56,good_coverage,13 tracks over 01:02:56 (~12.4 identified tracks/hour),imported
https://trackid.net/audiostreams/roi-perez-x-avalon-emerson-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,Roi Perez,2021-08-24,Berghain,Berghain,6,01:01:37,partial_coverage,6 tracks over 01:01:37 (~5.8 identified tracks/hour),imported
https://trackid.net/audiostreams/substance-x-soundstream-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,Soundstream,2021-08-24,Berghain,Berghain,6,01:05:09,partial_coverage,6 tracks over 01:05:09 (~5.5 identified tracks/hour),imported
https://trackid.net/audiostreams/andre-galluzzi-x-ryan-elliott-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,André Galluzzi,2021-08-28,Berghain,Berghain,6,01:03:30,partial_coverage,6 tracks over 01:03:30 (~5.7 identified tracks/hour),imported
https://trackid.net/audiostreams/nick-hoppner-x-klon-dump-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,Nick Höppner,2021-08-21,Berghain,Berghain,8,01:02:35,partial_coverage,8 tracks over 01:02:35 (~7.7 identified tracks/hour),imported
https://trackid.net/audiostreams/steffi-x-virginia-ostgut-ton-aus-der-halle-am-berghain-live-arteconcert,Virginia,2021-08-28,Berghain,Berghain,14,01:02:16,good_coverage,14 tracks over 01:02:16 (~13.5 identified tracks/hour),imported
https://trackid.net/audiostreams/tama-sumo-x-lakuti-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,Lakuti,2021-08-24,Berghain,Berghain,6,01:03:26,partial_coverage,6 tracks over 01:03:26 (~5.7 identified tracks/hour),imported
https://trackid.net/audiostreams/panorama-bar-06-ryan-elliott,Ryan Elliott,2014-08-07,Panorama Bar,Panorama Bar,7,01:31:38,partial_coverage,7 tracks over 01:31:38 (~4.6 identified tracks/hour),imported
https://trackid.net/audiostreams/berghain-panorama-bar-show-march-2008-w-marcel-dettmann,Marcel Dettmann,2013-04-09,Panorama Bar,Panorama Bar,25,04:06:22,good_coverage,25 tracks over 04:06:22 (~6.1 identified tracks/hour),imported
https://trackid.net/audiostreams/marcel-dettmann-berghain-9th-anniversary-set-15122013,Marcel Dettmann,2013-12-19,Berghain,Berghain,15,01:51:23,good_coverage,15 tracks over 01:51:23 (~8.1 identified tracks/hour),imported
https://trackid.net/audiostreams/marcel-dettmann-live-berghain-31122006,Marcel Dettmann,2023-08-13,Berghain,Berghain,10,02:06:48,good_coverage,10 tracks over 02:06:48 (~4.7 identified tracks/hour),imported
https://trackid.net/audiostreams/marcel-dettmann-x-dj-stingray-313-live-ostgut-ton-aus-der-halle-am-berghain-arte-concert,Marcel Dettmann,2021-08-21,Berghain,Berghain,18,01:01:33,good_coverage,18 tracks over 01:01:33 (~17.5 identified tracks/hour),imported
https://trackid.net/audiostreams/marcel-dettmann-at-berghain-9th-anniversary,Marcel Dettmann,2023-04-10,Berghain,Berghain,16,01:51:24,good_coverage,16 tracks over 01:51:24 (~8.6 identified tracks/hour),imported
