artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,...but you weren't there.,nd_baumecker,0:43:09,11/5/2012,7/2/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,01 REC - 2024 - 06 - 02,nd_baumecker,0:55:53,6/2/2024,6/8/2024,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,1995,nd_baumecker,1:42:27,6/15/2012,7/2/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,2005-03-10 - ND Baumecker - Smegma @ Berghain Berlin,Mr. Fonk,1:12:50,4/17/2026,4/18/2026,mr_s17,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,AUTOMIX,nd_baumecker,2:00:08,2/1/2024,2/3/2024,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,As Heard At Bar Temp. #001: nd_baumecker,Bar Temp Bangkok,3:07:46,10/2/2025,10/2/2025,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,Bassiani invites nd_baumecker / Podcast #255,BASSIANI,1:03:54,4/14/2025,4/23/2025,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,FM Music Show #079 nd_baumecker - Voltron and Hyperia,freeride millenium,1:12:37,7/23/2024,7/25/2024,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,In-Store Session - nd_baumecker,Morevi Records,0:59:55,6/16/2025,7/1/2025,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,La Boum de Luxe - ND Baumecker (12.06.2003),djsets4u,1:01:43,6/15/2020,7/15/2025,Saviour1981,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,La Boum de Luxe - ND Baumecker (12.06.2003).mp3,Andreas W,1:01:42,2/17/2023,7/21/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,ND_BAUMECKER @ INNERVISIONS PT1,nd_baumecker,1:19:35,10/10/2012,7/2/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,ND_BAUMECKER B2B JOHN OSBORN,John Osborn / DRED RECORDS,1:58:57,2/25/2024,3/1/2024,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,Neck Fan Boogie,nd_baumecker,1:45:04,7/27/2023,7/29/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,PDC Live - Nd_Baumecker @ the Green House August 2025,Power Dance Club,3:54:50,11/26/2025,11/27/2025,feinschliff,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,Saturday Night Live,nd_baumecker,4:00:08,1/28/2013,7/2/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,djsets4u - FM4 La Boum De Luxe: nd baumecker (27.09.2025),djsets4u,1:01:18,9/27/2025,9/29/2025,Saviour1981,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,nd baumecker & Boris on The T Room Sessions,James Blonde,2:32:57,11/12/2011,7/2/2023,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,nd_baumecker @ FÄNCY FERIENLAGER 2025,nd_baumecker,2:25:16,8/1/2025,8/4/2025,The-Groove-Bot,Ready,visible_search_page,
1,nd_baumecker,TrackID.net,https://trackid.net/audiostreams?keywords=nd_baumecker,39,"nd_baumecker @ Monologues, London - 03.04.26",Monologues,2:30:38,5/6/2026,5/9/2026,The-Groove-Bot,Ready,visible_search_page,
