artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,028 – BASHKKA - fabric podcast,fabric,1:03:33,12/6/2023,12/10/2023,Rexer_music,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,BASHKKA @ The Lot Radio 05-22-2025,The Lot Radio,0:57:25,5/23/2025,5/27/2025,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,BASHKKA @TheLotRadio 05-22-2025,The Lot Radio,0:57:26,5/23/2025,5/24/2025,JustusVR,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,BASHKKA | Boiler Room: Amsterdam,Boiler Room,0:57:22,1/7/2025,5/1/2025,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Bashkka | Boiler Room: Amsterdam,Boiler Room,0:57:22,1/8/2025,1/8/2025,JustusVR,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Bashkka... Is Burning #76,IsBurning,1:36:22,4/20/2021,8/7/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Bassiani invites BASHKKA / Podcast #242,BASSIANI,2:01:04,1/23/2025,1/23/2025,JustusVR,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Blitzcast 014 : Bashkka,BLITZ Club,1:00:18,2/15/2023,6/6/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Crack Mix 574: BASHKKA,Crack Magazine,1:19:19,4/29/2024,5/1/2024,Sterkoner,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Daisychain 231 - BASHKKA,Daisychain,1:00:10,6/21/2022,6/6/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Dekmantel Mix 508 - BASHKKA,dekmantel,1:24:22,4/20/2026,4/21/2026,themehhgeneration,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Dekmantel Ten - BASHKKA | Radar - Aug 4 / 2024,Dekmantel,0:56:56,10/4/2024,10/6/2024,ulyyse,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Fever AM with Mor Elian & Bashkka - 24 June 2023,Rinse FM,1:59:59,6/25/2023,6/26/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,MARICAS - BASHKKA  | HÖR - Feb 25 / 2023,HÖR BERLIN,0:48:50,2/25/2023,5/28/2024,whatisthistrack,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Moxie w/ BASHKKA 220323,NTS Wednesday,1:58:02,3/23/2023,6/19/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Multisexual Mix #13 BASHKKA,Multisex,1:35:21,10/10/2023,10/12/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,RA Live: BASHKKA @ AVA festival 2025,Resident Advisor,0:59:17,8/26/2025,5/8/2026,cassanova2008,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Radio 80000 x Blitz Take Over — Bashkka [20.03.21],BLITZ Club,1:00:00,3/22/2021,6/6/2023,The-Groove-Bot,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,Sally C on Refuge Worldwide Radio w/ BASHKKA 24.08.22,Sally C,1:00:15,8/31/2022,12/27/2023,BennyG,Ready,visible_search_page,
3,BASHKKA,TrackID.net,https://trackid.net/audiostreams?keywords=BASHKKA,21,"| BRIGHTER DAYZ | Live from Radio 80000 Munich, Germany 17/11/2020",BASHKKA,1:00:15,11/18/2020,1/14/2025,rickyvale,Ready,visible_search_page,
