artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,"#527: Palms Trax, Gerd Janson, Kylie, Edd, Mahkina, Ken@work",Turned On,1:00:00,9/16/2024,10/2/2024,The-Groove-Bot,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,07/10/2016 Friday Club Night Gerd Janson De Club,DSAMS,2:54:21,3/18/2024,6/4/2024,lilcwalk,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,608- Thomas Hammann & Gerd Janson - Live At Robert Johnson Vol. 4 (2010),The Classic Mix CD Series,1:11:11,1/12/2019,4/26/2026,The-Groove-Bot,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Answer Code Request X Gerd Janson (live) - Ostgut Ton aus der Halle am Berghain - ARTE Concert,ARTE Concert,1:02:56,8/28/2021,3/28/2024,shaynetries,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,CB 056 - Gerd Janson,clubberia,1:00:03,9/26/2012,4/3/2024,The-Groove-Bot,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,DJ Norma B2B Greta Spark // Gerd Janson B2B Krystal Klear Live At Cocoon Ibiza 24.9.2025,Cocooneros,2:58:46,9/24/2025,3/23/2026,calimero,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Dekmantel Podcast 062 - Gerd Janson X Krystal Klear,dekmantel,3:20:42,3/21/2016,5/31/2024,jeff.in,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,"EDM Livesets, Dj Mixes & Radio Shows - Gerd Janson - Time Warp Germany 2023","EDM Livesets, Dj Mixes & Radio Shows",2:01:13,4/2/2023,5/31/2025,Komapatient,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,"Gerd Janson - Automat Radio Block Party opening Design Week 2018 at BASE, Milan",Automat Radio,2:28:57,5/17/2018,9/12/2025,Schrute_Inc.,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,"Gerd Janson - Live @ Nachtdigital 2013, Part 1",XCR,2:00:00,11/6/2013,6/17/2025,leBenjamin,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Gerd Janson - United We Stream 2.0 - 01 - 12 - 2020,nijsserik,0:58:17,12/3/2020,4/21/2024,The-Groove-Bot,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Gerd Janson - YouFM Clubnight (14-12-2013),press__play,1:58:49,12/17/2013,8/24/2025,Komapatient,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Gerd Janson B2B Optimo - RBMA & As You Like It (Full Recording),As You Like It,3:47:21,12/25/2019,9/21/2025,The-Groove-Bot,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Gerd Janson Boiler Room x Sugar Mountain 2018 DJ Set,Boiler Room,1:00:20,3/12/2018,3/27/2024,budaymatyi,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Gerd Janson x Prins Thomas - Live At Dekmantel Festival 2014 (Selectors Stage),dekmantel,3:00:38,12/17/2014,12/19/2025,aminoues,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Jennifer Cardini B2B Gerd Janson @ Paris X Berlin (Les 10 ans d'Arte Concert),VuvuzelaMagique,1:56:01,8/13/2021,4/10/2024,jokerinthebox,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Krystal Klear b2b Gerd Janson Live from Zutekh at Soup Kitchen - 27th June 2017,Rinse FM,1:59:43,6/28/2017,8/7/2025,Schrute_Inc.,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,Pitch Perfect – EP003 / Gerd Janson at Pitch Music & Arts 2017,Pitch Music & Arts,3:11:23,6/2/2017,12/16/2025,SecretStashRecords,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,"Puls Kluba #013 - Gerd Janson (Live @ Peti Kupe, Zagreb)",Peti Kupe,2:13:50,3/27/2024,9/24/2024,Echo1900,Ready,visible_search_page,
4,Gerd Janson,TrackID.net,https://trackid.net/audiostreams?keywords=Gerd%20Janson,63,The Burrell Brothers Nu Groove mix by Gerd Janson,Rush Hour Music,1:09:16,1/11/2012,8/12/2024,Echo1900,Ready,visible_search_page,
