artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Amy Dabbs presents Mike Starr - 23 October 2023,Rinse FM,0:59:59,10/24/2023,10/25/2023,The-Groove-Bot,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Cinthie // Ash Lauryn // Mike Starr - TXL Berlin Recordings Chapter 9 - ARTE Concert,ARTE Concert,3:02:58,6/8/2023,6/18/2024,coolranch,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,DTMF! @ The Bath House - Mike Starr (23.11.24),DTMF!,3:01:29,11/24/2024,4/30/2025,ma-thild,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Gegen Podcast Series >< #05 Mike Starr,Gegen,0:52:27,1/23/2020,10/6/2025,aminoues,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Isaac Carter presents Ochi with Mike Starr - 19 February 2024,Rinse FM,2:00:04,2/19/2024,2/20/2024,The-Groove-Bot,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Kat Nip Presents Mike Starr w/ Kedi Bounce at Paloma 2024-12-06,Mike Starr,2:04:28,12/14/2024,4/30/2025,ma-thild,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr - EROTIKA! Live from The Cause London (A Very Very Good Friday Easter 2025),Mike Starr,2:59:03,6/20/2025,10/13/2025,aminoues,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr - Good2U Festival DJ Set @ The Hideout August 2023,Mike Starr,3:02:22,8/23/2023,10/6/2025,aminoues,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr - Smoke #7,IsBurning,1:20:02,10/10/2023,10/12/2023,The-Groove-Bot,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,"Mike Starr @ Body Language, 17.05.25",Mike Starr,2:00:34,5/25/2025,6/5/2025,bolloxx,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr @ De School Amsterdam 25.11.22 (Het Archief),Mike Starr,2:01:48,11/13/2024,3/9/2025,kamis888,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr DJ Set Gegen Berlin May 2019,Mike Starr,2:56:09,5/14/2019,10/6/2025,aminoues,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr NYD'24 Gegen X Pornceptual X RSO 01.01.2024 BERLIN,Mike Starr,2:49:33,1/17/2024,10/6/2025,aminoues,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Mike Starr | HÖR - May 17 / 2023,HÖR BERLIN,0:53:57,5/17/2023,8/3/2023,tara123,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Radio Buttons #37 - Mike Starr,Buttons,1:05:29,8/16/2018,4/20/2023,The-Groove-Bot,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,Situationship w/ Jenny Cara and Mike Starr 091025,NTS Latest,0:59:55,10/10/2025,10/23/2025,The-Groove-Bot,Ready,visible_search_page,
5,Mike Starr,TrackID.net,https://trackid.net/audiostreams?keywords=Mike%20Starr,17,This Is Your Time! Vol.43 - Marcel Vogel With Mike Starr,Live At Robert Johnson,2:03:29,5/24/2024,5/25/2024,swmul1,Ready,visible_search_page,
