artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,BBC ESSENTIAL MIX PARAMIDA,PARAMiDA,1:59:26,8/8/2024,8/12/2024,The-Groove-Bot,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Club Room 357 with Paramida,Anja Schneider,1:00:16,3/6/2025,3/6/2025,Komapatient,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Home Again - Paramida / June 10 / 4pm-5pm,HÖR BERLIN,0:53:37,6/10/2021,3/31/2024,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Live from the Adriatic 2025: PARAMIDA,Love International Festival,1:55:49,9/17/2025,9/18/2025,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Love On The Rocks - Paramida | HÖR - Sep 19 / 2022,HÖR BERLIN,0:55:15,9/19/2022,4/28/2024,lzqooo,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA - Awakenings Upclose 2024,Awakenings,1:21:43,8/26/2024,9/19/2024,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA - Downtempo Balearic Special | RA Greenhouse Sessions,Resident Advisor,1:00:08,2/13/2025,2/13/2025,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA - Essential Mix 2024-03-09,musiclover1980,2:00:00,3/10/2024,5/30/2024,hummusmusic,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA - Exclusive Set for OCHO by Gray Area [3/25],Gray Area,1:00:06,4/18/2025,9/30/2025,paxtonab,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA @ The Lot Radio 11-15-2024,The Lot Radio,0:58:13,11/16/2024,11/16/2024,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA @TheLotRadio 11-15-2024,The Lot Radio,0:58:14,11/16/2024,12/2/2024,hummusmusic,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA in The Lab LDN,Mixmag,0:57:15,2/11/2022,3/29/2024,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA | The MUDD Show,The MUDD Show,0:57:41,4/13/2024,4/16/2024,Bailabamba,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,PARAMIDA | themuddshow,themuddshow,1:05:12,5/10/2025,5/10/2025,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,"Paramida X Massimiliano Pagliara - Ostgut Ton, Halle am Berghain (live) - @arteconcert",ARTE Concert,1:03:24,8/24/2021,8/13/2024,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Paramida bei Chat with a DJ - ARTE Concert,ARTE Concert,0:58:25,9/28/2023,3/22/2024,bpm131bpm,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,"The Sound Of: Love On The Rocks, mixed by Paramida",djmag,0:47:29,6/27/2024,6/27/2024,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Trommel.232 - PARAMIDA [powered by AlphaTheta],trommel,1:34:42,11/21/2025,11/24/2025,Pojken,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,Trommel.232 - PARAMIDA [powered by AlphaTheta],trommel,1:34:41,11/13/2025,11/14/2025,SMM001,Ready,visible_search_page,
7,Paramida,TrackID.net,https://trackid.net/audiostreams?keywords=Paramida,114,VF Live: Paramida,The Vinyl Factory,0:56:30,4/28/2021,3/29/2024,SMM001,Ready,visible_search_page,
