artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,"#556: Cinthie, Jex Opolis, Medlar, Demi Riquísimo, Glenn Underground",Turned On,1:00:04,4/28/2025,6/19/2025,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,BP086 // Cinthie,Beatport,0:53:58,11/28/2018,6/18/2025,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie - 22 November 2025,Rinse FM,1:32:42,11/24/2025,1/11/2026,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie - 26 July 2025,Rinse FM,2:00:15,7/27/2025,8/1/2025,samc96,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie - 28 February 2026,Rinse FM,2:00:00,3/3/2026,3/3/2026,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie - 28 June 2025,Rinse FM,2:00:05,6/29/2025,7/2/2025,Saviour1981,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie - 29 August 2025,Rinse FM,2:00:08,9/8/2025,9/9/2025,calimero,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie - Stone Techno 2025 - ARTE Concert,ARTE Concert,3:00:58,9/17/2025,9/23/2025,Yckopehue,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie b2b Meat | ADE 2025 | RAW CUTS x Heist Records,RAW CUTS,2:26:23,10/30/2025,12/15/2025,SecretStashRecords,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie b2b Meat | ADE 2025 | RAW CUTS x Heist Records,RAW CUTS,1:47:15,10/30/2025,10/31/2025,Gustav-Mulder,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie | RAW CUTS,RAW CUTS,2:21:07,5/1/2026,5/8/2026,Gustav-Mulder,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie: ADE Special - 25 October 2025,Rinse FM,1:59:58,10/26/2025,11/12/2025,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Cinthie: Summer Hot Tunes - 25 April 2026,Rinse FM,1:59:30,4/27/2026,5/1/2026,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Drift Podcast 072 | Cinthie,Drift - Om te dansen,2:04:35,5/29/2026,6/3/2026,Gustav-Mulder,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,RRFM • ADE Cinthie • 21-10-2022,RRFM • Radio Radio,1:00:18,11/3/2022,5/9/2025,leeeee,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Rinse FM Show Sat 26th of July ( no talking ),Cinthie (803 Crystal Grooves),2:06:20,7/30/2025,8/20/2025,MisterB,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Rinse Show April 26,Cinthie (803 Crystal Grooves),1:59:28,4/25/2026,4/26/2026,Gustav-Mulder,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Trommel.231 - Cinthie [powered by AlphaTheta],trommel,2:02:16,10/30/2025,11/26/2025,The-Groove-Bot,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,Trommel.231 - Cinthie [powered by AlphaTheta],trommel,2:02:17,11/5/2025,11/11/2025,Scimian,Ready,visible_search_page,
8,Cinthie,TrackID.net,https://trackid.net/audiostreams?keywords=Cinthie,116,"Turned On 578: Butch, Patrick Cowley, Andrés, Cinthie, Aroop Roy, Hugo Massien",Turned On,1:00:00,10/6/2025,11/14/2025,The-Groove-Bot,Ready,visible_search_page,
