artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,ADE 2021: Roi Perez - Live From Radio Radio // 15-10-21,Worldwide FM,0:59:57,10/19/2021,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Cooking With Palms Trax 016 ft. Roi Perez,Palms Trax,1:59:54,12/23/2015,5/26/2026,lacktrist,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Cooking With Roi Perez,Palms Trax,2:05:05,3/14/2016,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Gazoz - Roi Perez | HÖR - Feb 23 / 2023,HÖR BERLIN,0:54:03,2/23/2023,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Het Weekend Special w/ Roi Perez @ Red Light Radio 09-23-2017,Red Light Radio,1:02:22,9/23/2017,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Humboldthain Tapes - Roi Perez (Israel),Humboldthain Club,1:05:36,12/10/2013,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,IS 191 - Roi Perez,Input Selector,1:01:02,8/27/2014,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,"Is Burning w/ Chris Cruse, Tessuto & Roi Perez @ Red Light Radio 08-05-2019",Red Light Radio,2:54:07,8/7/2019,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Pulsår Takeover w/ Roi Perez (29/05/21),Radio 80000,1:00:52,6/2/2021,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Quarantine FM - Dr. Rubinstein B2B Roi Perez / November 28 / 9pm-10pm,HÖR BERLIN,1:00:44,11/28/2020,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,RA Live: LAUNDRETTE (Roi Perez b2b David Elimelech b2b Partok) @ GALA Festival 2025,Resident Advisor,2:15:28,6/12/2025,6/16/2025,desilvadj,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,ROI PEREZ | Live set at DGTL Amsterdam 2019 - Gain by RA stage,DGTL Festival,1:33:56,4/25/2019,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Revolution Day: Dan Beaumont & Roi Perez (13/07/2018),Soho Radio,0:57:46,7/14/2018,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Roi Perez - 16th February 2018,Rinse FM,1:00:04,2/16/2018,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,"Roi Perez - Live @ ENTER.Sake Week 6 (Space, Ibiza) - 06-08-2015",Mixing.DJ LiveSets,1:01:48,8/13/2015,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,"Roi Perez 9h mix @ Horoom · Sept 2024, Tbilisi",Roi Perez,9:08:34,12/30/2024,12/31/2024,JustusVR,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Roi Perez @ Red Light Radio,Tantra Macumba,0:59:15,3/24/2019,3/26/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Roi Perez @ The Lot Radio 05-20-2024,The Lot Radio,0:59:31,5/21/2024,5/21/2024,Sterkoner,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,The Lot Radio Mix • NYC • May '24,Roi Perez,0:59:31,5/27/2024,5/29/2024,Richardkind666,Ready,visible_search_page,
12,Roi Perez,TrackID.net,https://trackid.net/audiostreams?keywords=Roi%20Perez,44,Wrecked & Roi Perez @ The Lot Radio 09:23:2016,The Lot Radio,2:00:48,9/25/2016,3/26/2024,Richardkind666,Ready,visible_search_page,
