artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,2002-04-07 - Maral Salmassi & Andre Galluzzi at Ostgut,Mr. Fonk,8:00:01,3/31/2026,4/3/2026,mr_s17,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,429 - Freakshow: Cocoon Ibiza Summer Mix - André Galluzzi(2007),The Classic Mix CD Series,1:07:10,7/2/2017,4/26/2026,The-Groove-Bot,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,"ANDRE GALLUZZI - Live @ Cafe Schönbrunn, Berlin (07.12-03).mp3",Andreas W,0:51:16,9/18/2022,4/3/2026,mr_s17,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,Andre Galluzzi @ Ostgut Berlin - 06.2002,Nikki Zi,0:58:19,11/1/2024,4/2/2026,mr_s17,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,André Galluzzi - Clubnight @ YOU FM Frankfurt 22-01-2005,Szymon Pawlak,1:59:44,11/20/2012,2/27/2026,Komapatient,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,André Galluzzi @ MOMEM Frankfurt DJ Cast #056,MOMEM Frankfurt,2:59:58,6/12/2026,6/15/2026,Komapatient,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,André Galluzzi X Ryan Elliott (live) - Ostgut Ton aus der Halle am Berghain - ARTE Concert,ARTE Concert,1:03:30,8/28/2021,5/5/2025,Komapatient,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,"André Galluzzi at ""Cocoon Wednesdays Freakshow"" @ Cocoricò (Riccione-Italy) - 22 August 2007",LDJM,1:34:35,3/27/2024,1/5/2026,Schrute_Inc.,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,André Galluzzi dans Chat with a DJ - ARTE Concert,ARTE Concert,1:32:03,2/9/2026,2/10/2026,Komapatient,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,André Galluzzi | Cocoon x Loveland ADE 2019 | LL163,Loveland,0:39:55,11/24/2020,12/5/2025,Groovehustler,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,Clubnight 2003.12.20 - André Galluzzi.mp3,Andreas W,2:58:58,1/15/2023,3/3/2026,Komapatient,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,Essential Underground Vol. 6 / CD 1 / BERLIN / Mixed by André Galluzzi (MIX CD 2003),MIXED / MIX CD & LIVE MIX CLASSIC'S,1:09:28,8/16/2023,2/18/2026,Komapatient,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,Heidecast 020 by André Galluzzi 31.01.2025,͏He͏i͏d͏e͏t͏o͏n,1:45:03,1/28/2025,4/30/2025,The-Groove-Bot,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,THIS IS LOCO | Anniversary Party w/ André Galluzzi,CannibalRadio,2:30:12,6/29/2024,10/10/2025,aminoues,Ready,visible_search_page,
17,André Galluzzi,TrackID.net,https://trackid.net/audiostreams?keywords=Andr%C3%A9%20Galluzzi,15,Trevor Rockcliffe & Dash & Andre Galluzzi - 2001-01-27 - Ostgut Berlin,Mr. Fonk,5:42:21,3/25/2026,4/4/2026,mr_s17,Ready,visible_search_page,
