artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,BUDINO (SONIC DREAM) @ The Lot Radio 03-17-2026,The Lot Radio,0:54:52,3/18/2026,3/20/2026,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,BUDINO New Year's Dick {Extract},Pioneer PRG,0:55:10,3/4/2024,4/3/2024,ggber77,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Budino (Sonic Dream) @ The Lot Radio 04-23-2024,The Lot Radio,0:59:41,4/24/2024,4/25/2024,Vladyslav,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Budino (Sonic Dream) @TheLotRadio 04-23-2024,The Lot Radio,0:59:42,4/24/2024,9/7/2025,Gustav-Mulder,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Budino @ MAKING TIME ♾️ 2024,The Lot Radio,1:30:37,9/25/2024,10/9/2024,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Budino @ MAKING TIME ♾️ 2024,The Lot Radio,1:30:37,10/3/2024,10/4/2024,Nookajones,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Budino @ Radio TNP x Piña Festival 2024,Radio Tempo Não Pára,1:12:24,9/16/2024,10/2/2024,JimmyThib,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Ensemble Podcast 15 - Budino,Hi Scores,1:05:07,5/14/2018,6/6/2024,ggber77,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,FIXED with Budino @ The Lot Radio 05-24-2025,The Lot Radio,0:56:45,5/25/2025,5/27/2025,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,HQ 143: Budino - 07 December 2025,Rinse FM,0:58:27,12/7/2025,1/11/2026,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,LYO#107 / Budino,Les Yeux Orange,1:16:19,8/22/2018,6/6/2024,ggber77,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Live from the Adriatic 2022: Budino,Love International Festival,0:58:26,2/7/2023,1/8/2024,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Love Child 1 For All: Budino (Cocktail d'Amore),Love Child,1:01:31,7/4/2020,1/14/2025,swmul1,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Love International Mix 013: Budino,Love International Festival,1:13:04,3/29/2019,1/8/2024,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,MARICAS EOS Radio Residency - Vale Budino,MARICAS,1:00:05,4/12/2022,12/16/2025,SecretStashRecords,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Nothing Special 003: Budino,Nothing Special,1:03:36,7/24/2024,8/14/2024,swmul1,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,PURE Guest.027 Budino,PURE G,1:01:41,10/3/2022,4/16/2024,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Pulsår Mix 041 - Budino,Pulsår,1:08:18,3/16/2025,5/1/2025,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,Radio 80000 x pulsår - Vale Budino [29.05.21],Pulsår,1:00:00,5/30/2021,1/19/2024,The-Groove-Bot,Ready,visible_search_page,
18,Budino,TrackID.net,https://trackid.net/audiostreams?keywords=Budino,36,TOGETHER ALONE avec Budino & Shero - 13 Juillet 2024,Rinse France,2:00:05,7/12/2024,7/15/2024,The-Groove-Bot,Ready,visible_search_page,
