artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,Multisexual Mix #37 Nick Höppner,MULTISEX,1:29:26,4/15/2026,4/16/2026,desilvadj,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,Nick Hoppner @ E - Boded X Pushithard Desert Weekender #9 24.6.22,e-Boded,3:06:40,7/17/2022,11/15/2024,kamis888,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,Nick Höppner X Klon Dump (live) - Ostgut Ton aus der Halle am Berghain - ARTE Concert,ARTE Concert,1:02:35,8/21/2021,5/5/2025,Komapatient,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,Nick Höppner dans Chat with a DJ - ARTE Concert,ARTE Concert,1:00:24,10/2/2024,12/2/2024,Komapatient,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,Nick Höppner | themuddshow,themuddshow,1:01:54,3/21/2026,3/24/2026,desilvadj,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,"RA Live: Nick Höppner - Field Maneuvers, UK",Resident Advisor,1:29:52,9/26/2024,10/2/2024,The-Groove-Bot,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,The Little Finger Show - Nick Höppner & Alex Kassian - 15 Oct 2024,Refuge Worldwide,2:01:58,10/16/2024,12/10/2024,nhsxxx,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,The Little Finger Show - Nick Höppner - 02 Nov 2023,Refuge Worldwide,1:00:10,11/3/2023,6/8/2025,leeeee,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,The Little Finger Show - Nick Höppner - 07 Dec 2023,Refuge Worldwide,1:00:00,12/8/2023,6/8/2025,leeeee,Ready,visible_search_page,
19,Nick Höppner,TrackID.net,https://trackid.net/audiostreams?keywords=Nick%20H%C3%B6ppner,10,glider - Nick Höppner & Bill Santoro - 12 Mar 2026,Refuge Worldwide,1:55:41,3/13/2026,5/1/2026,The-Groove-Bot,Ready,visible_search_page,
