artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,5 GATE TEMPLE Ft. Victoria Mingot 120526,NTS Latest,1:59:52,5/13/2026,6/17/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,594 - Victor Calderone 'Evolve' (2007),The Classic Mix CD Series,1:19:42,5/21/2018,4/26/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Archaic Podcast 255 - Victor AG,Archaic,1:59:16,4/11/2019,5/22/2026,caffeine205,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Archaic Podcast 318 - Víctor Prieto,Archaic,1:30:58,6/24/2020,5/25/2026,caffeine205,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Archaic Podcast 436 - Victor Alvarez,Archaic,1:24:10,11/23/2022,6/20/2026,caffeine205,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Archaic Podcast 51 - Victor Santana,Archaic,1:04:42,5/14/2015,5/10/2026,caffeine205,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Bruce Tantum with Victor Calderone - 25 May 2026,Rinse FM,1:00:03,6/3/2026,6/4/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,"Cloud 9 Party (Feb 10, 2024) with Ricky Gamez, Victor Kiswell & Brice",Cloud 9 Sound System,6:43:59,3/11/2024,6/19/2026,Richardkind666,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,EGE.400 Julio Victoria,EG en Español,1:00:56,4/22/2026,5/3/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Junior Vasquez & Victor Calderone Live @ Prague 2002' (Manny'z Tapez),DJ M-TRAXXX,1:19:50,6/5/2026,6/10/2026,Richardkind666,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Stereo Productions Podcast 337 | Victor Calderone,Stereo Productions,0:59:32,1/15/2021,4/30/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Tasha B2B Victor: Live from Open Ground (Part 2) - 18 May 2026,Rinse FM,0:59:44,6/2/2026,6/4/2026,The-Groove-Bot,Ready,visible_search_page,
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,The Breakfast Show - Ella Victoria & isa vibe - 06 Mar 2026,Refuge Worldwide,1:59:42,3/7/2026,5/10/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,UNheard MIX 003,VICTORIA WHYNOT,0:45:39,5/28/2026,6/8/2026,paxtonab,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,VICTOR CALDERONE - LIVE FROM REFUGE NYC MIX | 03.15,Victor Calderone,1:53:52,4/25/2026,5/7/2026,Ayinger,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,VICTOR CALDERONE | Stereo Productions Podcast 524,Stereo Productions,1:00:00,12/7/2023,4/30/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Victor De Roo - Guest Mix,Lullabies for Insomniacs,1:01:32,11/27/2018,5/31/2026,lacktrist,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,Victor ࿐ྂ hereandthe.re recordings 002,hereandthere,1:55:52,6/9/2026,6/15/2026,BennyG,Ready,visible_search_page,
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,cosmic reset - Ella Victoria - 18 Apr 2026,Refuge Worldwide,1:01:25,4/20/2026,4/30/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
22,Victor,TrackID.net,https://trackid.net/audiostreams?keywords=Victor,367,for all the lovers - Ella Victoria - 14 Feb 2026,Refuge Worldwide,1:00:06,2/16/2026,5/10/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
