artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Bassiani invites Marie Montexier / Podcast #305,BASSIANI,1:53:09,4/14/2026,4/20/2026,rmfm0808,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,C12 w/ Marie Montexier @ Kiosk Radio 26.04.2025,Kiosk Radio,0:57:13,4/29/2025,5/6/2025,aminoues,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,C12 w/ Marie Montexier @ Kiosk Radio 26.04.2025,Kiosk Radio,0:57:13,4/28/2025,4/28/2025,desilvadj,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,IWD25 - Marie Montexier - fabric podcast,fabric,1:52:28,3/7/2025,3/11/2025,The-Groove-Bot,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,LNS & Marie Montexier/Pistache FM October,Marie Montexier,1:57:28,10/20/2020,1/29/2026,Richardkind666,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Lago Lago Festival 2025 | Marie Montexier,Lago Lago,2:03:47,11/18/2025,11/19/2025,rpjdekort,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Marie Montexier at Nation of Gondwana - Wiese 2025,Marie Montexier,2:30:28,7/22/2025,7/22/2025,desilvadj,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Marie Montexier at Openground 06/09/2025 Paryìa Series N°001,Marie Montexier,3:06:13,10/16/2025,3/9/2026,Lucasmitc,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Marie Montexier b2b Simone De Kunovich Aurora Portugal,Marie Montexier,2:49:26,10/20/2025,12/22/2025,Yckopehue,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Marie Montexier – Recorded Live at Fuse (23.08.25),Fuse Brussels,2:05:42,10/3/2025,10/4/2025,SteveShark,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Paryìa w/ Marie Montexier @ Kiosk Radio 23.08.2025,Kiosk Radio,1:04:08,8/24/2025,8/24/2025,SteveShark,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Paryìa FM 01 w/ Marie Montexier // 08.01.26,Marie Montexier,1:01:28,1/8/2026,4/15/2026,Lucasmitc,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Paryìa FM 02 w/ Marie Montexier // 29.01.26,Marie Montexier,1:00:11,1/29/2026,4/15/2026,Lucasmitc,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Paryìa FM 03 w/ Marie Montexier // 05.03.26,Marie Montexier,1:06:42,3/5/2026,4/15/2026,Lucasmitc,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Paryìa FM 04 w/ Marie Montexier // 02.04.26,Marie Montexier,1:04:41,4/2/2026,4/15/2026,Lucasmitc,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Paryìa w/ Marie Montexier @ Kiosk Radio 23.08.2025,Kiosk Radio,1:04:09,8/27/2025,8/29/2025,RubyFox,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Reclaim Your City 650 | Marie Montexier,Reclaim Your City,2:02:46,6/30/2025,6/30/2025,The-Groove-Bot,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Stone Techno Festival 2025 - Marie Montexier b2b Deetron,The Third Room,2:27:39,6/4/2026,6/14/2026,fctsofxristos,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,Wildeburg 2025 Marie Montexier,Marie Montexier,2:24:44,7/18/2025,7/20/2025,JustusVR,Ready,visible_search_page,
24,Marie Montexier,TrackID.net,https://trackid.net/audiostreams?keywords=Marie%20Montexier,59,"[Tribalism] Marie Montexier (full recording) @ essaim, Paris / 04april2025",essaim,3:43:14,4/24/2025,4/29/2025,SteveShark,Ready,visible_search_page,
