artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,020 - fabric podcast – Tijana T,fabric,1:08:24,8/22/2023,8/23/2023,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Dr. Rubinstein // Freddy K // Tijana T - TXL Berlin Recordings Chapter 10 - ARTE Concert,ARTE Concert,3:05:02,6/13/2023,6/13/2023,Topspin_Finexus_8k,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,EX.715 Tijana T,RA Exchange,0:58:31,5/29/2024,8/3/2024,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,EXIT 2025 | DJ Gigola b2b Tijana T live at Dance Arena,EXIT Festival,1:58:30,7/13/2025,7/13/2025,Ayinger,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Fuse w/ Tijana T @ Kiosk Radio 03.02.2024,Kiosk Radio,0:59:24,2/3/2024,2/5/2024,emweine,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,International Women's Day: Tijana T,Juno Records,1:02:34,3/7/2019,3/12/2026,danielworrall,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Jennifer Cardini B2b Tijana T — Recorded live at Fuse Brussels (03/02/24),Fuse Brussels,4:53:28,3/26/2024,3/27/2024,emweine,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,QTFM x Sound Metaphors - Tijana T b2b Etapp Kyle,Dr.Rubinstein666,1:08:02,3/31/2021,5/12/2024,themoonbodega,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,SIGNAL 007: Tijana T,Signal Live,1:12:02,8/9/2018,7/3/2023,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Sally C on Refuge Worldwide Radio w/ Tijana T 20.02.23,Sally C,1:00:00,3/10/2023,11/1/2025,Gustav-Mulder,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Switch 2018 #40 - Tijana T,Studio Brussel,0:33:20,2/28/2018,7/24/2023,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,The Bunker Podcast 132: Tijana T,thebunkerny,1:26:22,9/20/2016,7/18/2024,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T - DHA FM Mix #427,DHA FM (Deep House Amsterdam),1:02:34,4/8/2019,7/29/2024,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T - Reconstructed Mix,TijanaT,1:39:00,11/4/2015,5/30/2024,danyalnaeem,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T // Nachtipod // Nachtiville 2023,Nachtdigital // NACHTIVILLE // Nachti,2:14:58,10/29/2023,11/3/2023,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T @ PRXMTY — RSO.LIVECAST 025—240721,RSO.BERLIN,2:40:56,7/2/2025,8/8/2025,SteveShark,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T Live @ EXIT LIFE STREAM 2020,ExitFestival,1:07:55,10/5/2020,12/19/2023,The-Groove-Bot,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T | Boiler Room: Hyderabad,Boiler Room,1:02:48,11/27/2025,12/15/2025,SecretStashRecords,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Tijana T | themuddshow,themuddshow,1:00:10,5/30/2026,6/1/2026,desilvadj,Ready,visible_search_page,
26,Tijana T,TrackID.net,https://trackid.net/audiostreams?keywords=Tijana%20T,27,Wigs w/ Imogen & Tijana T 301024,NTS Latest,0:59:50,10/31/2024,11/15/2024,The-Groove-Bot,Ready,visible_search_page,
