artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,GALA Takeover - Kikelomo & Richard Akingbehin - 18 May 2025,Refuge Worldwide,1:04:29,5/19/2025,6/9/2025,XL3600,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Hanaby DJ Set | Keep Hush Live Berlin: Kikelomo Takeover,Keep Hush,0:57:44,6/5/2023,4/4/2026,danielworrall,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,In Conversation with Kikelomo & A Song For You,DRAAIMOLEN,0:38:31,8/5/2024,8/12/2024,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo & DJ Spit at Lentekabinet 2025,dekmantel,2:03:38,12/11/2025,2/15/2026,nomenetnihil,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo - 15 December 2024,Rinse FM,2:00:43,12/16/2024,1/2/2025,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo - 20 April 2025,Rinse FM,1:59:57,4/21/2025,4/23/2025,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo @ The Lot Radio 04-14-2025,The Lot Radio,0:59:19,4/15/2025,4/24/2025,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo @TheLotRadio 04-14-2025,The Lot Radio,0:59:19,4/15/2025,4/26/2025,Pinklady22,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo DJ Set | Keep Hush Live Berlin: Kikelomo Takeover,Keep Hush,1:06:21,6/5/2023,4/4/2026,danielworrall,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo at Dekmantel Selectors 2024,dekmantel,3:00:19,12/17/2024,12/27/2024,hummusmusic,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo b2b CCL - 17 November 2024,Rinse FM,1:59:39,11/26/2024,11/29/2024,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo invites Miles Freedom - 15 September 2024,Rinse FM,1:59:56,9/15/2024,10/2/2024,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo invites Signorina - 18 May 2025,Rinse FM,2:01:01,5/20/2025,5/27/2025,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo invites VHOD - 20 October 2024,Rinse FM,2:00:02,10/21/2024,10/23/2024,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo presents Ruth and Jared's Wedding Mix - 21 July 2024,Rinse FM,2:02:33,8/2/2024,8/3/2024,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo with Tripes - 18 August 2024,Rinse FM,2:01:49,8/18/2024,8/26/2024,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Kikelomo: Nigeria Special - 16 March 2025,Rinse FM,2:00:10,3/17/2025,3/20/2025,The-Groove-Bot,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Melanin DJ Set | Keep Hush Live Berlin: Kikelomo Takeover,Keep Hush,1:02:22,6/5/2023,4/4/2026,danielworrall,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,Moneyama DJ Set | Keep Hush Live Berlin: Kikelomo Takeover,Keep Hush,0:58:45,6/5/2023,4/4/2026,danielworrall,Ready,visible_search_page,
29,Kikelomo,TrackID.net,https://trackid.net/audiostreams?keywords=Kikelomo,41,No Shade - Kikelomo / October 8 / 7pm-8pm,HÖR BERLIN,1:01:36,10/13/2019,1/13/2025,caffeine205,Ready,visible_search_page,
