artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Bassiani invites Natalie Robinson / Podcast #277,BASSIANI,1:01:12,9/24/2025,9/24/2025,The-Groove-Bot,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,GROOVE Podcast 490 — Natalie Robinson,Groove Magazin,1:05:52,1/20/2026,1/23/2026,Schrute_Inc.,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Isaac Carter Presents Ochi with Natalie Robinson - 23 June 2024,Rinse FM,2:00:04,6/24/2024,6/24/2024,The-Groove-Bot,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Multisex Live Recording (2h cut) – Natalie Robinson & Katy De Jesus (10.08.2024),Natalie Robinson,1:53:55,3/20/2025,3/26/2025,The-Groove-Bot,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson - Fusion Festival 2023 @ Panne Eichel / Bachstelzen,Natalie Robinson,1:49:41,7/6/2023,5/13/2024,woodyk,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson - Szczecin Recordings - ARTE Concert,ARTE Concert,1:24:19,1/31/2025,5/5/2025,Komapatient,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson - Upclose 2025,Awakenings,2:00:56,6/26/2025,7/2/2025,The-Groove-Bot,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson @ The Lot Radio 04-11-2026,The Lot Radio,0:55:33,4/22/2026,4/23/2026,The-Groove-Bot,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson B2B Katy De Jesus • DIE LETZTE WIESE IX 09/24,LETZTE WIESE,2:32:31,11/9/2024,8/8/2025,fantaaaaaaa,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,"Natalie Robinson at Ring, Horst Festival 2026",Horst Arts & Music,3:00:08,6/17/2026,6/17/2026,lacktrist,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson b2b Katy De Jesus @ coppi 05.09.2024,coppi,1:59:13,11/12/2024,2/8/2025,rickyvale,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson | Boiler Room Festival Berlin: Refuge Worldwide,Boiler Room,0:57:20,1/31/2024,5/1/2024,nichallus,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson | Live from Lost Village,Lost Village,2:02:44,5/6/2026,5/11/2026,bolloxx,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson | themuddshow,themuddshow,0:54:41,2/14/2026,3/22/2026,bolloxx,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Natalie Robinson...IsBurning #168,IsBurning,1:01:15,5/16/2025,5/16/2025,desilvadj,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,Nation of Gondwana 2023 - Naomi b2b Natalie Robinson - Bei Birke,Naomi,1:59:59,8/9/2023,1/17/2025,beshy1891,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,SAUDADE PRESENTS: Natalie Robinson @ The Lot Radio 10-11-2025,The Lot Radio,0:49:39,10/12/2025,10/19/2025,bolloxx,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,SEVEN House Mix 021: Natalie Robinson x Katy De Jesus,SEVEN,1:00:24,5/24/2025,5/31/2025,The-Groove-Bot,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,"Spinning Grounds I w/ Natalie Robinson @ THF Radio, 23/11/23",THF Radio,1:01:08,12/15/2023,5/29/2025,leBenjamin,Ready,visible_search_page,
30,Natalie Robinson,TrackID.net,https://trackid.net/audiostreams?keywords=Natalie%20Robinson,26,This Is Your Time! Vol.45 - Natalie Robinson & Ones.,Live At Robert Johnson,2:02:35,6/4/2024,6/8/2024,The-Groove-Bot,Ready,visible_search_page,
