artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,306 - United DJs Of America Presents Murk Starring In Miami Vice (1999),The Classic Mix CD Series,1:13:57,1/7/2017,4/27/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,330 - United DJs Of America Vol. 11 - Cevin Fisher (My First CD),The Classic Mix CD Series,1:11:27,1/25/2017,4/27/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,333 - Plastic City America mixed by G.Pal (2001),The Classic Mix CD Series,1:08:36,1/26/2017,4/27/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,360 - United DJ's Of America Vol. 5 mixed by Doc Martin (1995),The Classic Mix CD Series,1:13:04,2/18/2017,4/27/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,AMEDEO PICONE Stereo Productions Podcast 657,Stereo Productions,1:00:00,4/3/2026,4/29/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,"Amandine Gay : VIVRE, LIBRE – Le podcast EP6 – Corps & âmes - 12 Mai 2026",Rinse France,1:01:30,5/11/2026,6/4/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,"Ameer Brooks - Chosen Few Picnic 2025 - Full Set (Raw Audio) - Classic, Deep, Soulful, Afro House",Ameer Brooks,0:59:15,7/17/2025,5/4/2026,Gustav-Mulder,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Amelia Holt B2B True Vine (DJ Mix) | MCR Live at III Points 2025's Door IV (10/17/25),Miami Community Radio,1:44:10,11/4/2025,5/22/2026,kiouthemusic,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Amelia Holt b2b Seth Magoon @ Solarplexia 10.24.2025,solarplexia,3:08:30,5/15/2026,5/15/2026,Richardkind666,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Amelie Lens Radio Show 019,Amelie Lens,0:56:55,4/30/2026,4/30/2026,Komapatient,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,"Amen4Tekno with Matt Scracth, DJ Cant Say No, Miss Bee Spinner and IFFYHYPE - 02 May 2026",SWU.FM,2:00:00,5/3/2026,5/9/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,American Pie: Fall Backwards,Cut Chemist,0:57:34,11/4/2012,5/26/2026,lacktrist,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Critical Mass invites Amelia Holt @DramaRadioBar · February 7 2025,Drama Radio,1:59:19,3/10/2025,5/6/2026,kiouthemusic,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,FRANKY RIZARDO @ AMEN 11.02.17,AMEN,1:56:07,3/7/2017,5/8/2026,music777,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Inox Traxx @Closer Milano 29/11/2025 Amelia,Inox Traxx,1:50:40,2/26/2026,6/6/2026,trackbot-_-,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Solomun & Âme & Dixon (Dj Music Room 24:07:2018),Listen To Solomun,1:10:10,7/24/2018,6/8/2026,Harshclo,Ready,visible_search_page,
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Solomun B2B Âme Live @ SW4 Festival 29-08-2015,nem mindegy,1:34:35,9/8/2015,6/8/2026,Harshclo,Ready,visible_search_page,
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Temporal Cove w/ American Football 070526,NTS Latest,1:00:08,5/8/2026,5/8/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,The Set Everyone Is Talking About: D-Nox Ame Club 2026,D-Nox,3:00:01,6/13/2026,6/14/2026,Scimian,Ready,visible_search_page,broad-name search; requires alias filtering
34,Âme,TrackID.net,https://trackid.net/audiostreams?keywords=%C3%82me,566,Track/Narre #21 - Âme // Fortress,Gigsta,1:31:05,9/4/2013,6/20/2026,Richardkind666,Ready,visible_search_page,
