artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,"#531: Paula Tape, Bonobo, Nickodemus, Tigerbalm, Clive From Accounts",Turned On,1:00:54,10/14/2024,10/18/2024,The-Groove-Bot,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Andrei Mor - Paula Tape - BBC Radio 1 Residency 2023-11-03,Andrei Mor,1:00:01,11/3/2023,11/27/2024,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Hola Mundo w/ Paula Tape 240323,NTS Friday,0:59:16,3/26/2023,5/7/2024,The-Groove-Bot,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Live from the Adriatic 2024: Paula Tape,Love International Festival,1:57:42,8/28/2024,8/29/2024,hummusmusic,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - DHA Mix #372,DHA FM (Deep House Amsterdam),1:03:35,6/7/2018,7/29/2024,The-Groove-Bot,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - Essential Mix - BBC Radio 1,Paula Tape,2:00:00,1/23/2025,2/3/2025,swmul1,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - Essential Mix 1597 - 23 November 2024 | BBC Radio 1,Sensationmusic 🌐,1:55:56,11/25/2024,11/26/2024,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - Essential Mix 2024-11-23,musiclover1980,2:00:00,11/23/2024,12/30/2024,Schrute_Inc.,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - Residency 2023-11-17 Balearic years,musiclover1980,0:59:59,11/17/2023,11/27/2024,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - Residency 2023-11-24 Euphoric dance,musiclover1980,0:59:58,11/24/2023,11/27/2024,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape - Sónar 2025 - ARTE,ARTE Concert,2:01:26,6/17/2025,6/18/2025,Komapatient,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape 190626,NTS Latest,0:59:56,6/22/2026,6/22/2026,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape FULL SET Recorded Live at Sonar Festival'25,Paula Tape,2:01:10,12/10/2025,12/10/2025,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Paula Tape The Lot NYC (recorded FEB2024),Paula Tape,1:02:20,3/20/2024,8/26/2024,The-Groove-Bot,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Select 100: Mixed by Paula Tape,SceneNoise,1:00:05,12/19/2019,7/29/2024,The-Groove-Bot,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,The Cover Mix: Paula Tape,Mixmag,1:01:56,2/27/2025,3/3/2025,SMM001,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Throwback Session #3 Paula Tape,La Cabane / Brussels,0:59:28,6/17/2020,1/19/2025,swmul1,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,Trommel.243 - Paula Tape,trommel,1:00:00,4/17/2026,4/18/2026,danielworrall,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,"Turned On 587: Hercules & Love Affair, Paula Tape, Captain Planet, Diogo Strausz, Jimpster",Turned On,1:00:02,12/15/2025,4/28/2026,The-Groove-Bot,Ready,visible_search_page,
39,Paula Tape,TrackID.net,https://trackid.net/audiostreams?keywords=Paula%20Tape,53,djsets4u - Triple J Mix Up - Paula Tape (04.03.2023),djsets4u,0:57:15,3/4/2023,11/27/2024,SMM001,Ready,visible_search_page,
