artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,"#343: TSHA, Radio Slave, Justin Cudmore, Demi Riquísimo, Aimes, Kristy Harper",Turned On,1:00:15,1/18/2021,3/27/2024,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,"#412: Moodymann, Louie Vega, Radio Slave, Larry Tee, Kiko Navarro",Turned On,1:00:08,5/16/2022,3/27/2024,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,"#512: Radio Slave, Seth Troxler, North 90, Charles Levine & Martin Buttrich",Turned On,1:00:02,5/28/2024,5/28/2024,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,ARMA PODCAST 061: Radio Slave @ Halloween Labyrinth,ARMA17,1:02:27,11/22/2012,3/16/2026,danielworrall,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,CB 009 - Radio Slave,clubberia,1:15:56,9/20/2012,4/3/2024,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,Club Room 339 with Radio Slave,Anja Schneider,2:02:36,10/24/2024,10/25/2024,blu9chicago,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,Goor w/ Sigi pres. Radio Slave Special at WAV | 22-11-24,We Are Various | WAV,1:02:01,11/27/2024,11/29/2024,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,HOUSE OF REKIDS MIX 03 | RADIO SLAVE,REKIDS,2:17:39,4/2/2024,4/3/2024,emweine,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,HOUSE OF REKIDS MIX SHOW 29 | Radio Slave,REKIDS,1:44:12,12/4/2025,12/4/2025,robm71,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,HOUSE OF REKIDS MIX SHOW 31 | Radio Slave,REKIDS,2:32:38,3/10/2026,3/18/2026,paxtonab,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,House of Rekids w/ Radio Slave @ Kiosk Radio 14.11.2025,Kiosk Radio,1:01:57,11/14/2025,12/14/2025,ArchQ007,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,House of Rekids w/ Radio Slave @ Kiosk Radio 14.11.2025,Kiosk Radio,1:01:57,11/18/2025,11/26/2025,Scimian,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,IT'S JUST MUZIK #133 with RADIO SLAVE (Special Rekids Radio Show) [18 Apr'26],YOUFMRadio,2:00:10,4/18/2026,4/22/2026,paxtonab,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,Lumberjacks Tapes 059: Radio Slave,Lumberjacks in Hell,1:01:49,5/14/2024,5/14/2024,daniel_messi,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,MIX400: Radio Slave,Soundspace,1:34:44,8/1/2025,8/6/2025,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,Radio Slave with Markus Suckut - 14 October 2021,Rinse FM,2:00:05,10/15/2021,4/10/2026,rmfm0808,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,Rekids - Radio Slave / November 18 / 9pm-10pm,HÖR BERLIN,0:55:54,11/18/2020,3/5/2024,DjWillForbes,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,Stay in the Moment 07 - RADIO SLAVE Live From Gate Two,Iris,2:00:54,12/26/2025,1/26/2026,paxtonab,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,"Turned On 561: Radio Slave, Marcel Dettman, Manuel Darquart, The Timewriter, Tuccillo",Turned On,1:00:22,6/2/2025,6/19/2025,The-Groove-Bot,Ready,visible_search_page,
40,Radio Slave,TrackID.net,https://trackid.net/audiostreams?keywords=Radio%20Slave,39,"loosejoints RADIO #017 EXCLUSIVE!!!!!! ""HOUSE OF LOVE” mix by RADIO SLAVE",loosejoints™️,2:02:17,9/6/2024,10/2/2024,The-Groove-Bot,Ready,visible_search_page,
