artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,EOS Radio - Marcolino invited By Franziska Berns,marcolino ultrasuoni,1:00:05,10/14/2022,7/27/2023,aaad84,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,EOS Radio Franziska Berns Jun 2021,Franziska Berns,1:00:31,8/6/2021,11/5/2023,clubhub_,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,EOS Radio Franziska Berns b2b Markus Sommer,Franziska Berns,1:00:05,1/26/2022,10/23/2023,hciveksid,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Franziska Berns - SOFT RSO Berlin w Laurent Garnier - March 2024,Franziska Berns,1:01:23,3/22/2024,4/27/2024,vld123,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Franziska Berns at Refuge Worldwide for Half Baked X Killing Time Dec 22,Franziska Berns,1:01:21,12/19/2022,11/5/2023,clubhub_,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Franziska Berns dans Chat with a DJ - ARTE Concert,ARTE Concert,0:59:44,11/14/2024,12/2/2024,Komapatient,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Franziska Berns for RA+RE Records RR#40,RA+RE,0:56:09,3/5/2019,2/16/2023,The-Groove-Bot,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Franziska Berns | HÖR - Mar 15 / 2023,HÖR BERLIN,0:54:01,3/15/2023,11/10/2024,The-Groove-Bot,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Franziska Berns | The MUDD Show x Maze,The MUDD Show,1:55:08,8/6/2024,9/18/2024,Martin_Dimitrov,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,HÖR Berlin Franziska Berns x Home Again Sept 30 2021,Franziska Berns,0:56:57,10/13/2021,2/6/2023,The-Groove-Bot,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Letters Radio with Franziska Berns,Letters Radio,0:57:16,5/2/2020,1/24/2024,dixxxon,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Mistress Mix Series n.23 - Franziska Berns live at Robert Johnson,Mistress,0:49:40,9/12/2019,2/16/2023,The-Groove-Bot,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,OK041 - Franziska Berns,Off-Kilter,1:05:48,10/23/2025,11/28/2025,The-Groove-Bot,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,The Sizeable Mix Vol. 18: Franziska Berns,Kalahari Oyster Cult,1:04:17,11/29/2023,12/20/2023,dixxxon,Ready,visible_search_page,
46,Franziska Berns,TrackID.net,https://trackid.net/audiostreams?keywords=Franziska%20Berns,15,Yay podcast #043 - Franziska Berns,YAY Recordings,1:04:16,2/6/2018,6/30/2023,The-Groove-Bot,Ready,visible_search_page,
