artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Cuddles with.. Katy De Jesus Nº7,Cuddles,1:57:34,8/27/2024,7/10/2025,Richardkind666,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Gay Haze w/ Katy De Jesus @ Kiosk Radio 09.01.2024,Kiosk Radio,0:59:52,1/10/2024,1/11/2024,TheHouseofMatt,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Kassette Weissensee Ausgabe 15 - Katy De Jesus,Christoph Faust,1:57:24,5/28/2025,7/1/2025,The-Groove-Bot,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Katy De Jesus - 17 Avril 2026,Rinse France,1:01:44,3/26/2026,4/17/2026,The-Groove-Bot,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Katy De Jesus | HÖR - May 9 / 2024,HÖR BERLIN,0:56:02,5/10/2024,3/18/2025,benderolo97,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Multisex Live Recording (2h cut) – Natalie Robinson & Katy De Jesus (10.08.2024),Natalie Robinson,1:53:55,3/20/2025,3/26/2025,The-Groove-Bot,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Natalie Robinson & Katy De Jesus bei Chat with a DJ - ARTE Concert,ARTE Concert,1:01:20,4/12/2024,4/27/2024,streamfast,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Natalie Robinson B2B Katy De Jesus • DIE LETZTE WIESE IX 09/24,LETZTE WIESE,2:32:31,11/9/2024,8/8/2025,fantaaaaaaa,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,Natalie Robinson b2b Katy De Jesus @ coppi 05.09.2024,coppi,1:59:13,11/12/2024,2/8/2025,rickyvale,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,SAUDADE presents: Katy De Jesus @ The Lot Radio 10-11-2025,The Lot Radio,0:58:36,10/12/2025,11/28/2025,The-Groove-Bot,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,SEVEN House Mix 021: Natalie Robinson x Katy De Jesus,SEVEN,1:00:24,5/24/2025,5/31/2025,The-Groove-Bot,Ready,visible_search_page,
49,Katy De Jesus,TrackID.net,https://trackid.net/audiostreams?keywords=Katy%20De%20Jesus,12,The Mudd Show｜ Katy De Jesus,Katy De Jesus,0:56:35,4/25/2025,6/2/2025,The-Groove-Bot,Ready,visible_search_page,
