artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,ALBA Radio w/ Lorenzo Daniels 081225,NTS Latest,1:00:13,12/9/2025,1/3/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Archaic Podcast 26 - Lorentz,Archaic,1:00:47,11/19/2014,5/5/2026,caffeine205,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Deep Breakfast 354 ~ Rene Lorenzo,Deep Breakfast Series,1:34:37,3/28/2026,4/28/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Deephouseit Talent Mix - Lorenzo Turco,"Deep, House, Techno and more ...",0:51:07,11/14/2023,12/15/2025,SecretStashRecords,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Electro House & Indie Dance Mix in Brooklyn | Jojo Lorenzo,Book Club Radio,1:25:31,12/23/2025,12/23/2025,Tberger,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Indie Rock & Electro House Mix in Brooklyn | Jojo Lorenzo,Book Club Radio,1:25:27,1/15/2026,2/27/2026,Richardkind666,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Indie Sleaze & Bloghouse Mix in Brooklyn | Jojo Lorenzo,Book Club Radio,1:23:37,4/30/2026,5/2/2026,Gustav-Mulder,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Loren - Techno Germany Podcast 200,Techno Germany,0:59:24,1/23/2026,2/3/2026,The-Groove-Bot,Ready,visible_search_page,
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Lorensiya [Journey Series],Magician On Duty,0:57:57,5/7/2026,5/13/2026,Rockin_In_A,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Moon Harbour Radio: Lorenzo De Blanck - 22 August 2020,Moon Harbour,1:00:24,8/19/2020,12/15/2025,SecretStashRecords,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,NVision Live @ Nicole and Loren's Wedding | 09-20-2025,DJ NVision,2:16:55,9/21/2025,5/12/2026,backyardwoodworksla,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,New Wave & Dark Wave Mix at School | Jojo Lorenzo,Book Club Radio,2:06:08,1/27/2026,4/14/2026,Nøra,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Paxahau Radio Episode 002 - Loren,paxahau,1:26:02,10/20/2016,1/23/2026,SecretStashRecords,Ready,visible_search_page,
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Riddim Research Riddim 007 with Lorenciaga invited by Laden P 03.09.25,Fritto FM,0:58:52,12/15/2025,4/13/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,SIMO LORENZ · DJ set | Bridge_48,BRIDGE_48,0:52:57,4/25/2025,4/5/2026,fullfine,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Simo Lorenz - DAY ON Festival Podcast,Free Your Mind Festival,2:08:59,10/6/2016,12/27/2025,Groovehustler,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,Tronic Podcast 711 with Lorenzo Fasano,Christian Smith,1:00:02,3/16/2026,3/19/2026,Komapatient,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,VBX #51 - Podcast by Lorenzo Aribone,VBX,1:00:52,12/15/2025,1/11/2026,The-Groove-Bot,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,VISIONS RADIO 02,LORENZO SPANO,1:01:21,1/22/2026,1/23/2026,Gustav-Mulder,Ready,visible_search_page,broad-name search; requires alias filtering
50,Loren,TrackID.net,https://trackid.net/audiostreams?keywords=Loren,230,chris lorenzo b2b skream - Miami Music Week 2026 | Lab54 | tszr,Three Six Zero Recordings,2:56:57,4/14/2026,5/9/2026,dz.xyz,Ready,visible_search_page,broad-name search; requires alias filtering
