track_id,track_artist,track_title,dj_mention,post_id,page,date,text,confidence,notes
1,JARK PRONGO,Movin' Thru Your System (Dave Clarke Remix) HD,Kyle Geiger,1,Berghain Music,2017-08-08,Kyle Geiger,high,extracted from post message only
2,Developer,Animal Behaviors [DEVELOPER006],Kyle Geiger,2,Berghain Music,2017-08-08,Kyle Geiger,high,extracted from post message only
3,Petter B,Roots Pt.2 (Original Mix) [BOND],mr RØDHÅD,3,Berghain Music,2017-08-07,mr RØDHÅD,high,extracted from post message only
3,Petter B,Roots Pt.2 (Original Mix) [BOND],Rødhåd,15,Berghain Music,2017-08-07,Rødhåd,high,extracted from post message only
3,Petter B,Roots Pt.2 (Original Mix) [BOND],PVS,4773,Berghain Music,2016-01-19,PVS,high,extracted from post message only
3,Petter B,Roots Pt.2 (Original Mix) [BOND],Answer Code Request,6402,Berghain Music,2015-06-23,Answer Code Request,high,extracted from post message only
3,Petter B,Roots Pt.2 (Original Mix) [BOND],Kobosil last weekend Petter B,6504,Berghain Music,2015-06-06,"Kobosil last weekend

Petter B",high,extracted from post message only
7,Rødhåd,Helldiver (video by Heleen Blanken),"Rødhåd. Opening, with other ambient tracks",7,Berghain Music,2017-08-07,"Rødhåd.
Opening, with other ambient tracks.",high,extracted from post message only
7,Rødhåd,Helldiver (video by Heleen Blanken),Francois X,5728,Berghain Music,2015-09-20,Francois X,high,extracted from post message only
10,Giorgio Gigli & VSK,A Silent Age [PRRUKLTDGGVSK],Giorgio Gigli <3,10,Berghain Music,2017-08-07,Giorgio Gigli <3,high,extracted from post message only
10,Giorgio Gigli & VSK,A Silent Age [PRRUKLTDGGVSK],Giorgio Gigli <3,12,Berghain Music,2017-08-07,Giorgio Gigli <3,high,extracted from post message only
10,Giorgio Gigli & VSK,A Silent Age [PRRUKLTDGGVSK],Amotik,1604,Berghain Music,2017-01-29,Amotik,high,extracted from post message only
11,,Slip (Cubera 011) out July 11 by Kyle Geiger,Thank you Kyle Geiger!!,11,Berghain Music,2017-08-07,Thank you Kyle Geiger!!,high,extracted from post message only
11,,Slip (Cubera 011) out July 11 by Kyle Geiger,Kyle Geiger,3305,Berghain Music,2016-07-15,Kyle Geiger,high,extracted from post message only
12,Jon Hester,"""Shouts In The Dark"" (DVS1 Found Mix)",RØDHÅD,13,Berghain Music,2017-08-07,RØDHÅD,high,extracted from post message only
13,Ø [Phase],At First Light,rødhåd,14,Berghain Music,2017-08-07,rødhåd,high,extracted from post message only
13,Ø [Phase],At First Light,Kr!z,2219,Berghain Music,2016-11-14,Kr!z,high,extracted from post message only
15,Heiko Laux,Hangin - tresor 123 1999,>> Kyle Geiger,17,Berghain Music,2017-08-07,>> Kyle Geiger,high,extracted from post message only
