label_candidate,track_count,example_source_url,notes
1992,13,https://youtu.be/NE6LBI2EXJg,bracket suffix in track title only
HD,10,https://youtube.com/watch?v=v-zUs5VLoWU,bracket suffix in track title only
HQ,10,https://youtube.com/watch?v=tAfvl8ow2xg,bracket suffix in track title only
Original Mix,9,https://youtube.com/watch?v=gu6RDPzDqXI,bracket suffix in track title only
FIGURE,8,https://youtube.com/watch?v=493mcsk2VWA,bracket suffix in track title only
M-Plant,8,https://youtube.com/watch?v=sNDb8LzObNI,bracket suffix in track title only
Re-Upload,8,https://youtube.com/watch?v=5GliZYpMQK8,bracket suffix in track title only
SOMA RECORDS,8,https://youtu.be/il5aWiEN5a8,bracket suffix in track title only
CLR,7,https://youtube.com/watch?v=xu4trnn2X-A,bracket suffix in track title only
Ostgut Ton,7,https://youtube.com/watch?v=dsiZO6oAekE,bracket suffix in track title only
TRUNCATE,7,https://youtube.com/watch?v=H2mcXIuwB2s,bracket suffix in track title only
TOKEN,6,https://youtube.com/watch?v=jVJrv2k7THM,bracket suffix in track title only
M-PLANT,6,http://youtu.be/iC6sOXnBglE,bracket suffix in track title only
ARTS,6,https://youtube.com/watch?v=bgqLrALL6d4,bracket suffix in track title only
MONNOM008,4,https://youtu.be/m51hgt0PmwA,bracket suffix in track title only
Klockworks,4,https://youtube.com/watch?v=Xhtv3bFDFDY,bracket suffix in track title only
SOMA,4,https://youtube.com/watch?v=xXJPm7Yvisk,bracket suffix in track title only
50 Weapons,4,https://youtube.com/watch?v=B0Nm7nA17Xs,bracket suffix in track title only
LIMITED.G.,4,https://youtube.com/watch?v=7Np5VSs1L5g,bracket suffix in track title only
Freerange,4,http://youtu.be/MLuO557bshY,bracket suffix in track title only
KW19,3,https://youtube.com/watch?v=Bqy24kD74zU,bracket suffix in track title only
POLEGROUP,3,https://youtu.be/iV2XC0QkwGg,bracket suffix in track title only
Official Video,3,https://youtube.com/watch?v=Ht6_-_txEBg,bracket suffix in track title only
Token,3,https://youtube.com/watch?v=fb_tN-WCAls,bracket suffix in track title only
MORDBOX001,3,https://youtu.be/CBr0zPNBrTM,bracket suffix in track title only
Soma Records,3,https://youtu.be/uauDNmXmYXI,bracket suffix in track title only
DM3D011,3,https://youtu.be/FVQb5YcSRig,bracket suffix in track title only
1993,3,https://youtube.com/watch?v=zDtkj41P3mI,bracket suffix in track title only
MONNOM BLACK,3,https://youtu.be/vQI7dqPuP3Y,bracket suffix in track title only
DRUMCODE,3,https://youtube.com/watch?v=G5IwiEUH57Q,bracket suffix in track title only
DYSTOPIAN002,3,https://youtube.com/watch?v=lXUtnZbZk60,bracket suffix in track title only
ENEMY RECORDS,3,https://youtu.be/clLRM7ULUuQ,bracket suffix in track title only
Sonntag Morgen,2,https://youtube.com/watch?v=dvwYmk1sabE,bracket suffix in track title only
ANAGRAM007,2,https://youtube.com/watch?v=--XB6uaJgfU,bracket suffix in track title only
BEK AUDIO,2,https://youtube.com/watch?v=gQ-RXblY6Js,bracket suffix in track title only
Blue Hour 2014,2,https://youtu.be/a8pVl0wZCx8,bracket suffix in track title only
Tortured,2,https://youtu.be/gQOmWMoYdgY,bracket suffix in track title only
INV014,2,https://youtu.be/GP7EE3LQlsE,bracket suffix in track title only
MOTE046,2,https://youtu.be/L2neMx7XaYk,bracket suffix in track title only
FLOAT010,2,https://youtube.com/watch?v=Mkz9_XzvzzQ,bracket suffix in track title only
Ancient Methods 2013,2,https://youtu.be/b80DqcFLI-c,bracket suffix in track title only
BLUEPRINT2016,2,https://youtube.com/watch?v=V7eu4uivfok,bracket suffix in track title only
TOKEN63,2,https://youtube.com/watch?v=o6HAt2efD7Y,bracket suffix in track title only
PLANETRHYTHM303,2,https://youtube.com/watch?v=3CYKkLTFhMg,bracket suffix in track title only
SK11003,2,https://youtu.be/W0mZH55Lp4I,bracket suffix in track title only
ODDEVEN004,2,https://youtu.be/8Ty7qiAlI2I,bracket suffix in track title only
Stroboscopic Artefacts SALP005 - SACD008,2,https://youtube.com/watch?v=mEPdoSx7IxQ,bracket suffix in track title only
EDLX051,2,https://youtu.be/ZdBWMA9M7xQ,bracket suffix in track title only
Token Records,2,https://youtube.com/watch?v=O5JGhiQXp6w,bracket suffix in track title only
PALING003,2,https://youtu.be/yTYMewpkY9A,bracket suffix in track title only
EXILE007,2,https://youtube.com/watch?v=pb74QWf6TCg,bracket suffix in track title only
cat#: EVENT0006,2,https://youtube.com/watch?v=9fCMzIQlvgE,bracket suffix in track title only
AMTK002,2,https://youtube.com/watch?v=LjYDH6zXvYo,bracket suffix in track title only
MOTE EVOLVER,2,https://youtu.be/dz_LWQU2Tdk,bracket suffix in track title only
PoleGroup,2,https://youtube.com/watch?v=nZe3q5GgcbQ,bracket suffix in track title only
Tresor,2,https://youtu.be/hxJJdd3Zl8o,bracket suffix in track title only
REKIDS,2,https://youtu.be/hqPHgRyj1k4,bracket suffix in track title only
Aufnahme + Wiedergabe X,2,https://youtube.com/watch?v=V2ItmCc61nE,bracket suffix in track title only
MONNOMBLACK009,2,https://youtube.com/watch?v=LBU5qGFCTlQ,bracket suffix in track title only
TRAUMPRINZ06,2,https://youtube.com/watch?v=18jTjrBwqFA,bracket suffix in track title only
Dystopian 003,2,https://youtu.be/j3BRZ55Jn8I,bracket suffix in track title only
Diffuse Reality Records,2,https://youtube.com/watch?v=asTuDctonbI,bracket suffix in track title only
BEARD MAN,2,https://youtube.com/watch?v=AybmdNHGhQA,bracket suffix in track title only
INF022,2,https://youtu.be/_ItC07Ql6Q0,bracket suffix in track title only
Music Man,2,https://youtube.com/watch?v=6hUqegoIGVU,bracket suffix in track title only
FORUM V,2,https://youtube.com/watch?v=zWeYcNfYn3U,bracket suffix in track title only
CHEAP052,2,https://youtube.com/watch?v=qkfVL_-qIQk,bracket suffix in track title only
OVUM RECORDINGS,2,https://youtube.com/watch?v=mLWyYyY9Q3c,bracket suffix in track title only
CRG006,2,https://youtube.com/watch?v=pdF1NDInrOk,bracket suffix in track title only
BP042,2,https://youtube.com/watch?v=lkSsCHi10gY,bracket suffix in track title only
LNTHN004,2,https://youtube.com/watch?v=DDitazdkC3Q,bracket suffix in track title only
47,2,https://youtu.be/HRedE0iv5lU,bracket suffix in track title only
TOKEN59,2,https://youtu.be/jj_pqTe8x4Y,bracket suffix in track title only
LDNWHT,2,https://youtube.com/watch?v=wRCuT1d2F30,bracket suffix in track title only
AMEN002,2,https://youtube.com/watch?v=qQRGfpJZU1Q,bracket suffix in track title only
TOKEN48LP,2,https://youtube.com/watch?v=daZdvQvGTyM,bracket suffix in track title only
THEM003,2,https://youtu.be/bzGpQTOvg4o,bracket suffix in track title only
EARTOGROUND RECORDS,2,https://youtu.be/pG0SBeaYRa0,bracket suffix in track title only
Modularz,2,https://youtube.com/watch?v=KXD8MbCmC8Q,bracket suffix in track title only
DYSTOPIAN 004,2,https://youtube.com/watch?v=1WPR7EgYGBU,bracket suffix in track title only
STOCKHOLM LTD,2,https://youtube.com/watch?v=NdltNVxcF_I,bracket suffix in track title only
Stroboscopic Artefacts - SA002,2,https://youtube.com/watch?v=VvY3SDHkzj8,bracket suffix in track title only
RECLAIM YOUR CITY,2,https://youtube.com/watch?v=NPMkxeeyAUY#t=186,bracket suffix in track title only
INV009,2,https://youtube.com/watch?v=P1KLwgg8o8Y,bracket suffix in track title only
INF019,2,https://youtube.com/watch?v=IduLpTiU5Ls,bracket suffix in track title only
BLUEPRINT RECORDS,2,https://youtube.com/watch?v=35PpspELgCM,bracket suffix in track title only
Figure SPC K,2,https://youtube.com/watch?v=oItefL1SmRw,bracket suffix in track title only
Stroboscopic Artefacts SALP002 - SACD005,2,https://youtube.com/watch?v=9hPIcBBvE4Y,bracket suffix in track title only
ON RECORDS,2,https://youtube.com/watch?v=HFn1n6yIh8Y,bracket suffix in track title only
A&S 005,2,https://youtube.com/watch?v=XBUh5zEffaE,bracket suffix in track title only
Modularz 10.2,2,https://youtube.com/watch?v=V7hALiWETXQ,bracket suffix in track title only
Hush 01,2,https://youtube.com/watch?v=cguAMLEJIQE,bracket suffix in track title only
non003,2,http://youtube.com/watch?v=wAeEpy-RIMY,bracket suffix in track title only
