rank,track_artist,track_title,count,first_seen,last_seen,source_url
1,Floorplan,"Baby, Baby",37,2011-09-20,2016-12-05,https://youtube.com/watch?v=uJRwvPe9BQQ
2,,Larry Heard Presents Mr. White: The Sun Can't Compare (Long Version),37,2011-01-24,2017-06-26,https://youtu.be/tdIQTEYXDP4
3,Surgeon,Atol ( 1995 ),34,2010-09-13,2016-10-10,https://youtube.com/watch?v=DmCmW1EYuo0
4,CJ Bolland,Camargue [1992],34,2010-08-30,2017-07-10,https://youtu.be/RsrdANlEz8I
5,Floorplan a.k.a. Robert Hood,Never Grow Old (Re-Plant) [M-PLANT],34,2014-06-23,2017-01-16,http://youtu.be/iC6sOXnBglE
6,Head High,Rave (Dirt Mix),34,2012-06-04,2017-01-17,https://youtube.com/watch?v=9dhVXLUpY4s
7,Dj HMC,Marauder,33,2013-06-09,2016-08-28,https://youtu.be/ZfstA3hEKu0
8,JOEY BELTRAM,ENERGY FLASH,32,2012-08-27,2017-01-16,https://youtu.be/WEL-dZRCxy8
9,Nihad Tule,Shatter (Sloboda SLBD8413001),31,2013-02-19,2017-07-11,https://youtu.be/ESgGA02i9mg
10,Recondite,Cleric [Dystopian 003],30,2013-03-18,2017-04-10,https://youtu.be/j3BRZ55Jn8I
11,James Ruskin,Work (Steve Rachmad Mix),30,2011-01-25,2017-06-19,https://youtube.com/watch?v=MaUDhB38SbE
12,Ben Klock,Subzero,28,2012-10-15,2017-07-04,https://youtube.com/watch?v=5IrHzrg4qdQ
13,,The Age Of Love (Jam & Spoon mix),27,2011-01-04,2017-06-12,https://youtu.be/MT9pH9C7Oew
14,Mathew Jonson,Marionette,26,2013-01-03,2017-06-19,https://youtu.be/daSid6Lh9Vs
15,AME,REJ (Original Mix),26,2011-02-14,2017-02-27,https://youtube.com/watch?v=JgBLAA7eCC0
16,DBX,Losing Control,25,2011-05-16,2017-02-06,https://youtu.be/6RZotWBdvmM
17,Heiko Laux,Hangin - tresor 123 1999,24,2011-06-27,2017-08-07,https://youtube.com/watch?v=at4fxaQ2pQA
18,Regis,Speak To Me,24,2012-02-13,2017-07-16,https://youtu.be/KnuwTrpY2EU
19,Matrixxman,Protocol,23,2014-08-04,2017-06-11,https://youtube.com/watch?v=Nm2LwG8Jbio
20,THEO PARRISH Falling up,CARL CRAIG remix,22,2010-04-18,2016-05-09,https://youtube.com/watch?v=AG-h27tajtg
21,Answer Code Request,The 4th Verdict,22,2014-03-04,2017-03-20,https://youtube.com/watch?v=8xuJ0alXmKU
22,tyree,nuthin wrong,22,2010-10-25,2016-04-10,https://youtube.com/watch?v=dj-3Du8TXFg
23,EQD,Equalized #005 (B1),21,2011-11-21,2017-07-16,https://youtu.be/4tYwDSQdOU0
24,Ben Sims,I Feel It Deep (Featuring Tyree Cooper) (Sandwell District Remix),21,2013-04-15,2016-03-07,https://youtube.com/watch?v=HPymESL5L1Y
25,Dj Rolando,Jaguar (Original mix),21,2012-11-26,2017-07-31,https://youtube.com/watch?v=C0f96HQbCY4
26,Levon Vincent,Man Or Mistress,21,2011-07-30,2017-06-03,https://youtube.com/watch?v=BdMR5gr0GwM
27,UVB,Mixtion,21,2014-07-28,2017-05-15,https://youtu.be/wKJVVkzo7fA
28,New Order,Blue Monday,20,2012-12-17,2017-07-17,https://youtu.be/FYH8DsU2WCk
29,DJ HMC,Cum On,20,2013-06-23,2017-05-08,https://youtube.com/watch?v=4mDlXfy7K1Y
30,Paranoid London Feat Paris Brightledge,Dub 1,20,2012-10-28,2015-07-01,https://youtu.be/3uh1GZifkT0
31,Kink,Existence,20,2010-09-11,2015-08-25,http://youtube.com/watch?v=Twc5heVMmjY
32,Andrés,New For U,20,2012-02-25,2016-12-13,https://youtube.com/watch?v=YqmlXTN3GPQ
33,Reload,Peschi (Original Mix),20,2010-08-30,2017-04-11,https://youtube.com/watch?v=VbT4y7uIvHg
34,Plastikman,Spastik,20,2010-09-15,2016-08-01,https://youtube.com/watch?v=Nsct-e-HVE0
35,Jeff Mills,The Bells,20,2013-05-09,2017-07-16,https://youtube.com/watch?v=DwpedKWwS3w
36,aril brikha,groove la chord,20,2011-04-09,2017-06-25,https://youtube.com/watch?v=uM2It3WbXGk
37,,BICEP | VISION OF LOVE,19,2012-09-25,2016-02-08,https://youtube.com/watch?v=ACZ6G3fJvKs
38,Randomer,Bring,19,2013-11-11,2016-04-18,http://youtu.be/UV1Yk4_WdiU
39,Todd Terje,Inspector Norse,19,2012-01-22,2016-08-21,http://youtube.com/watch?v=ebjXsc0UjdQ
40,Martyn feat. Spaceape,Is This Insanity? (Ben Klock Remix),19,2010-09-20,2016-10-23,https://youtu.be/IiNilnuyLwU
41,Gecko,Just close your Eyes,19,2010-11-29,2017-04-09,https://youtube.com/watch?v=T5S9kFqEG4E
42,DJ HMC,6 AM [HD],18,2013-04-01,2017-07-17,https://youtube.com/watch?v=v-zUs5VLoWU
43,Marcel Dettmann,Corebox (James Ruskin Blueprint Mix),18,2013-09-15,2017-07-17,https://youtu.be/tAnLbIbe1AU
44,,DVS1 Klockworks 05 Running,18,2010-09-01,2016-06-06,https://youtube.com/watch?v=8LBPeXCFZwg
45,Moodymann,Dem Young Sconies,18,2011-01-04,2017-01-24,https://youtube.com/watch?v=E4oSn96OQsY
46,Depeche Mode,Dream On (Dave Clarke Club Mix),18,2011-06-20,2017-05-29,https://youtube.com/watch?v=XjbQjSb7dQk
47,Ben Sims,I Feel It Deep (Featuring Tyree Cooper)(Sandwell District Remix),18,2013-05-06,2017-05-22,https://youtu.be/pYVVK3Otkio
48,DJ Hyperactive,Wide Open (Len Faki DJ Edit),18,2012-08-19,2016-08-15,https://youtu.be/SK9vhggft10
49,Radial,Asiel,17,2013-09-30,2017-08-06,https://youtu.be/siCItdnj_6E
50,Moderat,Bad Kingdom (Marcel Dettmann remix),17,2013-12-16,2016-01-18,https://youtube.com/watch?v=lmaglemvltY
51,Octave One feat. Ann Saunderson,Black Water,17,2011-03-14,2017-02-06,https://youtu.be/Bmg_DtZ0Scw
52,MK,Burning (Original Vibe Mix) [1992],17,2010-05-08,2017-06-12,https://youtu.be/SAFqulfIq_I
53,Belief 002 Ritzi Lee,Detect Signal,17,2014-01-20,2017-04-10,https://youtu.be/oSt9x-_wWqQ
54,Davina,Don't You Want It (Extended),17,2011-12-10,2016-04-04,https://youtube.com/watch?v=brTZ4a1reBY
55,Atom TM,Ich Bin Meine Maschine (Function Remix),17,2014-02-17,2016-09-04,https://youtube.com/watch?v=Eudg7_qLKdg
56,Vainqueur,Lyot (Maurizio Mix),17,2012-08-27,2017-07-03,https://youtube.com/watch?v=XOiqVejo4gk
57,TALISMANN,MARS WARS,17,2013-09-30,2016-08-22,https://youtube.com/watch?v=-b3I60SKKg4
58,MARSHALL JEFFERSON,MOVE YOUR BODY [The House Music Anthem],17,2012-11-11,2017-05-01,https://youtube.com/watch?v=QAR8cq5Bl94
59,Robert Hood,Minus,17,2010-12-11,2016-07-18,https://youtube.com/watch?v=2pCd4b1KGys
60,Oni Ayhun,OAR003-B // Oni Ayhun Records 2009,17,2010-10-05,2017-06-05,https://youtube.com/watch?v=Y20xhvbDZBc&app=desktop
61,Public Energy,Three O' Three ( 1993 ),17,2011-05-08,2017-04-17,https://youtu.be/VotISSj1GS4
62,Dj Assassin,A Face In The Crowd (Intellidread mix) HQ,16,2011-08-13,2016-06-13,https://youtube.com/watch?v=G_NbuUfgoQ4
63,Etapp Kyle,Aurora,16,2013-10-14,2016-11-14,https://youtu.be/wlfZa-5xdY0
