track_artist,track_title,count,post_count,first_seen,last_seen,source_url
JARK PRONGO,Movin' Thru Your System (Dave Clarke Remix) HD,1,1,2017-08-08,2017-08-08,https://youtu.be/lZzq_75yDek
Developer,Animal Behaviors [DEVELOPER006],1,1,2017-08-08,2017-08-08,https://youtu.be/HVEwL9dGFRc
Petter B,Roots Pt.2 (Original Mix) [BOND],5,5,2015-06-06,2017-08-07,https://youtube.com/watch?v=N3Bk3h1h5Qs
Rødhåd,Helldiver (video by Heleen Blanken),2,2,2015-09-20,2017-08-07,https://youtu.be/55Ig1PMGjBw
Giorgio Gigli & VSK,A Silent Age [PRRUKLTDGGVSK],3,3,2017-01-29,2017-08-07,https://youtube.com/watch?v=dc-s_2cM8zg
,Slip (Cubera 011) out July 11 by Kyle Geiger,2,2,2016-07-15,2017-08-07,https://soundcloud.com/kyle-geiger/sets/slip-cubera-011
Jon Hester,"""Shouts In The Dark"" (DVS1 Found Mix)",1,1,2017-08-07,2017-08-07,https://youtu.be/XiMnbu4_sAE
Ø [Phase],At First Light,2,2,2016-11-14,2017-08-07,https://youtu.be/6wYyC5-VBsk
Heiko Laux,Hangin - tresor 123 1999,24,24,2011-06-27,2017-08-07,https://youtube.com/watch?v=at4fxaQ2pQA
Shlømo,Vertigo [ICR005],4,4,2017-02-06,2017-08-07,https://youtube.com/watch?v=kVq68QOKWKk
Carl Craig,At les,5,5,2011-09-16,2017-08-07,https://youtube.com/watch?v=vm6pm5mCLXg
Dyad,Social Dividend,2,2,2016-08-08,2017-08-07,https://youtube.com/watch?v=pU6JSmLptBU
Blaze,Lovelee Dae (Eight Miles High remix) 45,3,3,2014-01-10,2017-08-07,https://youtube.com/watch?v=MLqb7v5Zce8
Gerd,Palm leaves (Deetron remix),5,5,2012-01-01,2017-08-07,https://youtube.com/watch?v=l93Sd-ZoELE
Ritzi Lee,Reverse Processed,8,8,2013-04-15,2017-08-07,https://youtube.com/watch?v=sTPBAcFoj3M
Héctor Oaks,Solarmental [Sonntag Morgen],11,11,2015-01-07,2017-08-07,https://youtube.com/watch?v=dvwYmk1sabE
Jay Denham,Pride (it`s time),8,8,2013-03-05,2017-08-07,https://youtube.com/watch?v=izLyZYciWLA
Tadeo,The Big Step (Function Remix) [NON024],4,4,2017-06-05,2017-08-07,https://youtube.com/watch?v=0VJcuHDIRMo
Rødhåd,Spomeniks,2,2,2016-08-29,2017-08-07,https://youtube.com/watch?v=tYcrX4BLODY
Robert Hood,And Then We Planned Our Escape,15,15,2013-05-27,2017-08-07,https://youtube.com/watch?v=E8PhL_u9Q5Y
Kamera,Consignia (Truncate Remix) [PHANTASY],2,2,2017-06-20,2017-08-07,https://youtu.be/maFNL8fkX5c
Donato Dozzy,Gol [DZR-000],1,1,2017-08-07,2017-08-07,https://youtu.be/NFFDp8iTLdc
Perc & Passarella Death Squad,Temperature's Rising (Original Mix),12,12,2013-07-15,2017-08-07,https://youtube.com/watch?v=QsH6oab5d20
Shed,Boom Room (Ostgut Ton),13,13,2012-12-30,2017-08-07,https://youtu.be/AuZ4mXZ8c1w
Dyad,Zou,7,7,2015-10-19,2017-08-07,https://youtube.com/watch?v=d3QvXlr8QFg
Perc,Look What Your Love Has Done To Me (Perc Trax),4,4,2017-06-26,2017-08-07,https://youtu.be/fhgfahfKlH8
Boston 168,Even The Day,5,5,2015-09-21,2017-08-06,https://youtu.be/y-3Yc6SBM3E
