track_id,track_artist,track_title,count,first_seen,last_seen,source_url,notes
1,JARK PRONGO,Movin' Thru Your System (Dave Clarke Remix) HD,1,2017-08-08,2017-08-08,https://youtu.be/lZzq_75yDek,drOpped-iN historical import (2010-2017)
2,Developer,Animal Behaviors [DEVELOPER006],1,2017-08-08,2017-08-08,https://youtu.be/HVEwL9dGFRc,drOpped-iN historical import (2010-2017)
3,Petter B,Roots Pt.2 (Original Mix) [BOND],5,2015-06-06,2017-08-07,https://youtube.com/watch?v=N3Bk3h1h5Qs,drOpped-iN historical import (2010-2017)
7,Rødhåd,Helldiver (video by Heleen Blanken),2,2015-09-20,2017-08-07,https://youtu.be/55Ig1PMGjBw,drOpped-iN historical import (2010-2017)
10,Giorgio Gigli & VSK,A Silent Age [PRRUKLTDGGVSK],3,2017-01-29,2017-08-07,https://youtube.com/watch?v=dc-s_2cM8zg,drOpped-iN historical import (2010-2017)
11,,Slip (Cubera 011) out July 11 by Kyle Geiger,2,2016-07-15,2017-08-07,https://soundcloud.com/kyle-geiger/sets/slip-cubera-011,drOpped-iN historical import (2010-2017)
12,Jon Hester,"""Shouts In The Dark"" (DVS1 Found Mix)",1,2017-08-07,2017-08-07,https://youtu.be/XiMnbu4_sAE,drOpped-iN historical import (2010-2017)
13,Ø [Phase],At First Light,2,2016-11-14,2017-08-07,https://youtu.be/6wYyC5-VBsk,drOpped-iN historical import (2010-2017)
15,Heiko Laux,Hangin - tresor 123 1999,24,2011-06-27,2017-08-07,https://youtube.com/watch?v=at4fxaQ2pQA,drOpped-iN historical import (2010-2017)
16,Shlømo,Vertigo [ICR005],4,2017-02-06,2017-08-07,https://youtube.com/watch?v=kVq68QOKWKk,drOpped-iN historical import (2010-2017)
18,Carl Craig,At les,5,2011-09-16,2017-08-07,https://youtube.com/watch?v=vm6pm5mCLXg,drOpped-iN historical import (2010-2017)
19,Dyad,Social Dividend,2,2016-08-08,2017-08-07,https://youtube.com/watch?v=pU6JSmLptBU,drOpped-iN historical import (2010-2017)
20,Blaze,Lovelee Dae (Eight Miles High remix) 45,3,2014-01-10,2017-08-07,https://youtube.com/watch?v=MLqb7v5Zce8,drOpped-iN historical import (2010-2017)
21,Gerd,Palm leaves (Deetron remix),5,2012-01-01,2017-08-07,https://youtube.com/watch?v=l93Sd-ZoELE,drOpped-iN historical import (2010-2017)
22,Ritzi Lee,Reverse Processed,8,2013-04-15,2017-08-07,https://youtube.com/watch?v=sTPBAcFoj3M,drOpped-iN historical import (2010-2017)
23,Héctor Oaks,Solarmental [Sonntag Morgen],11,2015-01-07,2017-08-07,https://youtube.com/watch?v=dvwYmk1sabE,drOpped-iN historical import (2010-2017)
24,Jay Denham,Pride (it`s time),8,2013-03-05,2017-08-07,https://youtube.com/watch?v=izLyZYciWLA,drOpped-iN historical import (2010-2017)
25,Tadeo,The Big Step (Function Remix) [NON024],4,2017-06-05,2017-08-07,https://youtube.com/watch?v=0VJcuHDIRMo,drOpped-iN historical import (2010-2017)
27,Rødhåd,Spomeniks,2,2016-08-29,2017-08-07,https://youtube.com/watch?v=tYcrX4BLODY,drOpped-iN historical import (2010-2017)
28,Robert Hood,And Then We Planned Our Escape,15,2013-05-27,2017-08-07,https://youtube.com/watch?v=E8PhL_u9Q5Y,drOpped-iN historical import (2010-2017)
33,Kamera,Consignia (Truncate Remix) [PHANTASY],2,2017-06-20,2017-08-07,https://youtu.be/maFNL8fkX5c,drOpped-iN historical import (2010-2017)
34,Donato Dozzy,Gol [DZR-000],1,2017-08-07,2017-08-07,https://youtu.be/NFFDp8iTLdc,drOpped-iN historical import (2010-2017)
35,Perc & Passarella Death Squad,Temperature's Rising (Original Mix),12,2013-07-15,2017-08-07,https://youtube.com/watch?v=QsH6oab5d20,drOpped-iN historical import (2010-2017)
36,Shed,Boom Room (Ostgut Ton),13,2012-12-30,2017-08-07,https://youtu.be/AuZ4mXZ8c1w,drOpped-iN historical import (2010-2017)
39,Dyad,Zou,7,2015-10-19,2017-08-07,https://youtube.com/watch?v=d3QvXlr8QFg,drOpped-iN historical import (2010-2017)
40,Perc,Look What Your Love Has Done To Me (Perc Trax),4,2017-06-26,2017-08-07,https://youtu.be/fhgfahfKlH8,drOpped-iN historical import (2010-2017)
42,Boston 168,Even The Day,5,2015-09-21,2017-08-06,https://youtu.be/y-3Yc6SBM3E,drOpped-iN historical import (2010-2017)
43,Radial,Asiel,17,2013-09-30,2017-08-06,https://youtu.be/siCItdnj_6E,drOpped-iN historical import (2010-2017)
44,Shifted,Leather (Original Mix),10,2012-09-30,2017-08-06,https://youtu.be/dx5w5rFqw40,drOpped-iN historical import (2010-2017)
45,Janice,Church Burn Down,1,2017-08-06,2017-08-06,https://youtu.be/NtKFcs9e0vo,drOpped-iN historical import (2010-2017)
46,Wirrwarr,Void The C-Stem (VSK Remix) [NST140],2,2017-04-02,2017-08-06,https://youtu.be/lQ0xp6HqwJU,drOpped-iN historical import (2010-2017)
49,Humate,3.1.,3,2016-09-26,2017-08-02,https://youtube.com/watch?v=ynB-E722owE,drOpped-iN historical import (2010-2017)
51,Elad Magdasi,Two Floors [ANAGRAM007],4,2017-02-13,2017-07-31,https://youtube.com/watch?v=--XB6uaJgfU,drOpped-iN historical import (2010-2017)
53,Heiko Laux,Souldancer (Jonas Kopp Remix) | Kanzleramt,12,2014-01-27,2017-07-31,https://youtube.com/watch?v=2oRYZnWq_nc,drOpped-iN historical import (2010-2017)
