track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
197680773,RUMSPRINGA 1,Sean Deason,Third Ear Recordings,Leftfield House & Techno,131.98,Bm,15.0,yes,low_confidence; bpm_outside_p10_p90; singleton_genre_in_flow,artist_in_flow_corpus,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15
46569641,A1 Straight Sneaky VINYL ONLY ,Mandar,Yoyaku,Techno (Peak Time / Driving / Hard),135.0,F#m,30.0,yes,low_confidence; bpm_outside_p10_p90,key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; genre_in_top8; label_in_top15
27401778,Tilda's Goat Stare (Priori Remix),Ciel & CCL,NAFF,Trance (Raw / Deep / Hypnotic),132.0,Abm,30.0,yes,low_confidence; bpm_outside_p10_p90; singleton_genre_in_flow,key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; genre_in_top8; label_in_top15
122689357,Groove Rhythm Machine VINYL ONLY ,A2 Latent,Velvet Spirit,Indie Dance,121.72,Cm,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
38079654,Recovery,Kid Only,Kase Kool,Tech House,121.99,G,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
76004027,Direct Fix (Original Mix),Demi Riquísimo,Semi Delicious,House,138.0,F,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
99950933,Prayer Bass (Original Mix),Big Zen,Mood Hut,Deep House,137.02,Cm,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
236536279,B2 Voicemail VINYL ONLY ,Young Adults,Mood Waves,Minimal,132.04,Fm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
42490515,When Is Deep (Thor & Octal Industries Remix),Anton Kubikov,AE Recordings,Techno (Peak Time / Driving),122.0,G,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
264259372,Time & Space,Phil Asher & James Massiah,Rekids,Techno,121.0,Bbm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
54455150,Jynmu,Soul Of Hex,Freerange,Deep House,120.0,Am,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
92184181,EVES SKY,Tuccillo,Holic Trax,Deep House,120.0,Gm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
268068655,Body Drum (Original Mix),Urulu,Voyage Recordings,Deep House,122.0,Abm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
127976725,When Is Deep (Thor & Octal Industries Remix),Anton Kubikov,AE Recordings,Techno (Peak Time / Driving),122.0,G,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
243941555,Time & Space,Phil Asher & James Massiah,Rekids,Techno,121.0,Bbm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
45616211,Leftfoot Lover (Original Mix),Voigtmann,Phonica AM,Tech House,131.0,Dm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
42406427,Untitled A,WALKER,Holding Hands Records,House,132.85,C,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
204105812,A1 A VINYL ONLY ,SnPLO,pin,Minimal,133.0,Gm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
213410014,A1 Chicken Store + Chickapella VINYL ONLY ,Minimal Man,Perlon,Minimal,133.06,Abm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
26880105,Conspirators Of Pleasure VINYL ONLY ,C1 Persound,Unreleased,Minimal,120.0,Em,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
5124682,Jazzy Horse VINYL ONLY,Tijn,EWax,Minimal,120.98,F#m,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
261062262,Subboom (Original Mix),Lorenzo Blender,Fabric,Tech House,122.0,A,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
104530915,Dub Inside,DKA,Sender Records,Deep House,120.0,Fm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
173580605,Spatial Relation,Man Power,Echocentric Records,House,131.0,Eb,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
128855225,Face Down (feat. Motion Parallax) (feat. Motion Parallax),"Soul of Hex, Motion Parallax",Delusions Of Grandeur,Indie Dance,120.0,Abm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
143154388,Direct Dub,Xupid,Moral Standards,Techno,139.0,Dm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
156786386,We So (Original Mix),"Sante, The Willers Brothers",Tamango Records,Minimal / Deep Tech,128.0,Am,60.0,no,,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
163298977,Your Moves Are Mine (Sanasol Remix),GusGus,AE Recordings,Techno (Peak Time / Driving / Hard),127.0,Bbm,60.0,no,,bpm_within_p10_p90; label_in_top15; artist_in_flow_corpus,genre_in_top8; key_in_top8
60228256,Correct Choice (Original Mix),The Maersk Project,Konform,Minimal  Deep Tech,125.0,Ebm,60.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
166803351,Pick Wick,Misc Mood,True People,Minimal / Deep Tech,127.0,Em,60.0,no,,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
154147190,Feel It,Misc Mood,True People,Minimal / Deep Tech,128.0,Em,60.0,no,,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
56103495,Ypt58 VINYL ONLY ,iO (Mulen),Apollonia,Minimal,127.04,Ab,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
224728010,When Is Deep (Idealist Remix),Anton Kubikov,AE Recordings,Techno (Peak Time / Driving),122.0,Dm,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
