track_no,content_id,artist,title,label,genre,bpm,key
1,136287350,"Obscure Shape, URBAN CC","Mana (Traumer ""Stop"" Remix)",Gettraum,Deep House,128.0,Ebm
2,156786386,"Sante, The Willers Brothers",We So (Original Mix),Tamango Records,Minimal / Deep Tech,128.0,Am
3,197680773,Sean Deason,RUMSPRINGA 1,Third Ear Recordings,Leftfield House & Techno,131.98,Bm
4,236536279,Young Adults,B2 Voicemail VINYL ONLY ,Mood Waves,Minimal,132.04,Fm
5,56103495,iO (Mulen),Ypt58 VINYL ONLY ,Apollonia,Minimal,127.04,Ab
6,48830053,Baku,A1 Baku33333 VINYL ONLY ,Baku,Tech House,128.01,Am
7,52370949,Baku,B1 Baku33333 VINYL ONLY ,Baku,Minimal,127.96,Dbm
8,178492776,HOUSE LOVE Production,Hwlsd001.2 (Verrina & Ventura Remix),HOWL Label,Techno (Raw / Deep / Hypnotic),128.0,Abm
9,83325230,Oshana,A1 I See Through You VINYL ONLY ,BodyParts Vinyl,Minimal,124.0,G
10,58233134,REda daRE,A1 Cosmogone (Diego Krause V1 Remix) VINYL ONLY ,Parliamnt,Tech House,125.0,F#m
11,66915049,Varhat,Howl004.1 (Original Mix),HOWL Label,Techno (Raw / Deep / Hypnotic),125.0,F#m
12,159232598,Varhat,Howl004.2 (Original Mix),HOWL Label,Techno (Raw / Deep / Hypnotic),126.0,G
13,43201433,Verrina & Ventura,D1 Howl001.5 VINYL ONLY ,Howl,Minimal,126.96,Em
14,224728010,Anton Kubikov,When Is Deep (Idealist Remix),AE Recordings,Techno (Peak Time / Driving),122.0,Dm
15,42490515,Anton Kubikov,When Is Deep (Thor & Octal Industries Remix),AE Recordings,Techno (Peak Time / Driving),122.0,G
16,86569748,Baeka,Right At It (Original Mix),Rekids,House,124.0,F
17,131147596,Benjamin Fröhlich,Talk The Dub (Original Mix),Pleasure Principle,Indie Dance,123.0,Em
18,238404905,Big Changa,Something Here (Bryan Kessler Remix),Good Skills,House,129.0,Am
19,181695169,Butch,Official Bump Call (Riva Starr Warehouse Remix),Rekids,House,127.0,Ebm
20,74448862,Eli Escobar,Up All Night Pt 2 (Rogue D & Memoryman (aka Uovo) Remix),Defected Records,House,123.0,Dbm
21,155572041,Dino Lenny,Piano Lessons at Eight (Original Mix),Rekids,House,127.0,Am
22,163298977,GusGus,Your Moves Are Mine (Sanasol Remix),AE Recordings,Techno (Peak Time / Driving / Hard),127.0,Bbm
23,224137586,"Harry Romero, Austin Ato, Brothers Macklovitch",The Corner (Piano Mix),Rekids,House,127.0,D
24,5856902,iO (Mulen),A1 As You VINYL ONLY ,Mulen,Tech House,128.0,Bbm
25,121139847,iO (Mulen),A1 For My Dreamz VINYL ONLY ,Overall Music,Tech House,126.0,Eb
26,190351828,iO (Mulen),B1 Xenon VINYL ONLY ,Mulen,Tech House,127.03,A
27,215322330,"Jerome.c, Io (Mulen)",Right Here (Io (Mulen) Remix) Vinyl Only,Still Play Records,Tech House,125.98,Eb
28,7127991,Jonno & Gibson,Rhythm (Original Mix) ,Mentor Records,Tech House,126.0,Em
29,204171591,Lapien,A Change Is Gonna Come (Original Mix),Rekids,Tech House,130.0,Fm
30,174680203,Los Hermanos,Keep Hold Tight (Original Mix),Rawax,House,127.0,Cm
31,104537971,Los Hermanos,The Descendant (Original Mix),Rawax,House,135.01,Am
32,926884,Mark Broom,MXM (Original Mix),Rekids,House,132.0,F#m
33,261305963,Mark Broom,Touch (Original Mix),Rekids,House,137.0,F#m
34,111485214,Markus Suckut,Untitled #1 (Original Mix),Rekids,Techno,128.0,Abm
35,30032946,Martin Badder,Sassy (Steve Bug Remix),Whoyostro White,Deep House,126.0,Bbm
36,38327553,Mathias Kaden,Freedom (Mathias Kaden Uptempo Rework),Rekids,House,128.0,Fm
37,30517439,Mathias Kaden,Freedom (Radio Slave Dub Mix),Rekids,House,124.0,Abm
38,134614959,Mathias Kaden,Twisting Shadows,Rekids,Techno (Peak Time / Driving),126.0,Fm
39,217766272,"Moodena, Charles Levine",Badman (Cratebug Remix),Rekids,House,127.0,Em
40,233543916,"Moodena, Charles Levine",Badman (Radio Slave Remix),Rekids,House,125.0,Gm
41,78712931,"NDA, Bryan Kessler, Ennio",Black Pepper Knees feat. NDA (Ft. NDA),Buto Bayang,Tech House,130.0,Em
42,95085063,Nicola Cruz,Vessel,Kalahari Oyster Cult,Techno,126.0,Cm
43,191010517,NonniMal,Ronja,Thule Records,Techno (Peak Time / Driving),128.0,Bbm
44,3946370,Peggy Gou,In Sum (Original Mix),Rekids,Deep House,122.0,F#m
45,264259372,Phil Asher & James Massiah,Time & Space,Rekids,Techno,121.0,Bbm
46,103815622,Soul Of Hex,Hex Hex Hex ,Fairmount Foxes,House,130.0,Am
47,54455150,Soul Of Hex,Jynmu,Freerange,Deep House,120.0,Am
48,207258821,Soul of Hex,Square Bounce,DFTD,House,123.0,Am
49,62434133,Spencer Parker,Sllly Club Song No.5 (Original Mix),Rekids,Techno,128.0,F#
50,71450084,Spencer Parker,Sllly Club Song No.6 (Original Mix),Rekids,Techno,128.0,Abm
51,22624753,Steve Bug,Ebb And Flow (Original Mix),Rawax,Techno (Raw / Deep / Hypnotic),125.0,Ebm
52,133423491,Steve Bug,Lost Sector (Original Mix),Rawax,Techno (Raw / Deep / Hypnotic),125.0,Fm
53,252304491,Subb-an,B2 Tides VINYL ONLY ,Sub Series,Minimal,129.0,F#m
54,122781512,Tiger Stripes,Rockin' (Original Mix),Rekids,House,127.0,Bbm
55,92184181,Tuccillo,EVES SKY,Holic Trax,Deep House,120.0,Gm
56,268068655,Urulu,Body Drum (Original Mix),Voyage Recordings,Deep House,122.0,Abm
57,77222897,Urulu,Flight Pattern (Original Mix),Voyage Recordings,Deep House,125.0,Eb
58,130668440,A Psychic Yes,Maze Dream (Sapphire Slows Remix),Kalahari Oyster Cult,House,123.0,Gm
59,1639275,Andrew Azara,The Jam (Original Mix),Cecille,House,129.0,Abm
60,205878570,Andy Catana,My Heartboom (Subb-An Remix) ,Do Easy Records,Tech House,127.0,Bm
61,127976725,Anton Kubikov,When Is Deep (Thor & Octal Industries Remix),AE Recordings,Techno (Peak Time / Driving),122.0,G
62,87523937,"Armand Van Helden, A-Trak, Duck Sauce",Fallin In Love (Butch Extended Remix),Defected,House,127.0,Gm
63,90931458,Daniel Kovac,Gir (Funk E Reconstruction),Do Easy Records,Tech House,124.88,F#m
64,261351088,"DeWalta, Mike Shannon",Tauben Summer,Indigo Raw,Deep House,125.0,Ebm
