track_no,content_id,artist,title,label,genre,bpm,key
1,229940679,Ani,Love Is The Message (For Those Who Didn't Hear It),Rush Hour,Classic House,122.38,Db
2,124799724,"Ackermann, Vinicius Honorio",Count the dead and wait for morning (129bpm version),Safe Space,House,129.0,Ab
3,158344697,SOST,Street Walk (Original Mix),Phonogramme,Minimal  Deep Tech,131.0,Ebm
4,172967576,Steve O'Sullivan,No Aura (Original Mix),Phonogramme,Minimal / Deep Tech,130.0,Eb
5,37239470,Young Adults,A2 Porcetta (Mf Dub) VINYL ONLY ,Mood Waves,Minimal,130.04,A
6,109039913,Arturo Garces,Just A Little Bit,Robsoul Essential,House,121.0,Abm
7,35271103,Dub Taylor,Concentration,Sender Records,Techno,123.0,F#m
8,187608668,Tom Ellis,One Man Riot (Original Mix),Convent,Minimal House,124.0,Ebm
9,258480866,Fred P,6AM (Original Mix),Get Physical Music,Electronica / Downtempo,124.0,Cm
10,124016000,Rhode & Brown,Underwater Bounce (DJ Popup Remix),Permanent Vacation,Indie Dance,127.0,Bbm
11,202290346,Anton Kubikov,When Is Deep (Idealist Remix),AE Recordings,Techno (Peak Time / Driving),122.0,Dm
12,21290324,Parallel 9,Quanah (Full 1996 Mix),Delsin Records,Techno (Raw / Deep / Hypnotic),133.87,Ebm
13,162994239,CRYME,Back2Room,...is serving,House,135.0,Gm
14,241081772,Ortella,B2 Work I VINYL ONLY ,Mad In Lyon,Tech House,120.96,Bm
15,29984222,"Traumer, Anton, antraum",Fukai (Original Mix),omakase_dgtl,Minimal  Deep Tech,125.0,Em
16,51116537,Lump,U Need Me (Original Mix),Contexterrior,"House, Deep House/Deep Tech",124.0,Em
17,171040533,D'Julz,Give Me Your Hand (Original Mix),Fabric,Tech House,123.0,Dm
18,46209041,A1 Latent,Mr Underground VINYL ONLY ,Velvet Spirit,Indie Dance,123.71,Gm
19,182464529,B1 Emi Omar,Zenro VINYL ONLY ,Velvet Spirit,House,130.7,F#m
20,243102172,"Coke, Stoned & Baileys",A1 Your Mum VINYL ONLY ,Surreal,Tech House,130.21,Am
21,201340449,Andrew,Some Say (Original Mix),LOK Records,Minimal  Deep Tech,126.0,Abm
22,220601374,Nudge,Howl012.2 VINYL ONLY,Howl,Deep House,122.98,Am
23,175602117,iO (Mulen),Bass Control (Dachshund Remix),Artreform,Tech House,123.0,Fm
24,100649088,Silat Beksi,Do Or Donut (Original Mix),Cadenza,Deep Tech,126.0,Ebm
25,163298977,GusGus,Your Moves Are Mine (Sanasol Remix),AE Recordings,Techno (Peak Time / Driving / Hard),127.0,Bbm
26,104414759,A1 Lazer Man,Que vas tu faire VINYL ONLY ,Undergroove Records,Deep House,130.0,Cm
27,193453722,DJ Koze,I Want To Sleep (Original Mix),Bar25 Music,Techno,121.0,Bmin
28,258308777,Francesco Forgione,I Feel It (Original Mix),Miniline,Minimal / Deep Tech,130.0,Abm
29,151054762,Wiremü,The Subtle Hustle,Modeight,Minimal / Deep Tech,130.0,Am
30,140467199,Alkalino,Seven Sisters (Original Mix),Audaz,Deep House,130.0,Gm
31,104715504,Chris Stussy,Never Tell Me,Large Music,House,121.0,Gm
32,25431002,Chris Stussy,Soul Patrol,Large Music,House,121.0,Gm
33,123725699,DJ Koze,EASY SEXY VOCALI Want To Sleep (Original Mix),Bar25 Music,Techno,121.0,Gm
34,211768856,grad u,Geomagnetic Storm,Redscale,House,123.99,Bb
35,77717468,D'Julz,Give Me Your Hand (Original Mix),Fabric,Tech House,123.0,Dm
36,16624997,GusGus,Your Moves Are Mine (Sanasol Remix),AE Recordings,Techno (Peak Time / Driving / Hard),127.0,Bbm
37,165589581,Ackermann,Alter (Simon Hinter Remix),Safe Space,Deep House,128.96,C
38,143207290,"Dano, Joeski",Chikko Vox (Vocal Mix),Red Melon Records,House,129.0,Fm
39,197938100,Da Rebels,House Nation Under a Groove,20/20 Vision,House,121.66,A
40,18507118,Mike Starr & Mama,Love Away (Douglas Greed Remix),Clepsydra,Tech House,123.0,Fm
41,145895090,"Par Grindvik, The Persuader",Eden (The Persuader Remix),ODD EVEN,Techno,127.0,Em
42,140807799,Adam Collins & Mister Ali,Neptunes Android,ubiyu,Minimal / Deep Tech,128.0,E
43,228934180,Soul Of Hex,Nobody ft Cromie,Freerange Records,Deep House,124.0,Fm
44,160813283,Wreal,Feels Good (Joss Moog Funky Remix),Layers Label,Deep House,124.0,Gm
45,81965113,Mihai Popoviciu,Waitin' (Original Mix),Berg Audio,Minimal / Deep Tech,128.0,Bbm
46,109818588,Kerouac,A2 Active Meditation VINYL ONLY ,Murmurations,Tech House,127.0,Fm
47,245693020,Gemini,Take Your Time (Original),Cyclo Recordings,Deep House,127.99,Ebm
48,72841734,Phil Weeks,Nasty Girl (Original Mix),Robsoul Recordings,House,124.01,A
49,73757465,Alexander East,Jest 4 Me (BHQ Instrumental),Afterhours,Deep House,127.03,F#m
