track_no,content_id,artist,title,label,genre,bpm,key
1,34471448,iO (Mulen),Reponce Profonde ,Cecille,Minimal,128.0,Dm
2,264199119,Soul of Hex,Power Twice (Original Mix),Faith Beat,House,123.0,Am
3,246007111,Pancratio,It Was Unexpected (Original Mix),Faith Beat,House,130.0,Am
4,18761839,Markus Suckut,Melt (Original Mix),SCKT,Techno (Raw / Deep / Hypnotic),131.0,Em
5,102572702,Christoph Faust,DUB//Don't Stop (BLANKA Remix),SEVEN,House,128.0,Gm
6,203951516,Subb-an,Feel The Rise (Original Mix),X-Kalay,House,133.0,Dm
7,229448399,Asphalt DJ,Clear Skies (Original Mix),R.A.N.D. Muzik Recordings,Deep House,130.0,Ab
8,262081718,Paolo Macrì,Outbreak (Original Mix),Rutilance Recordings,Deep House,124.0,F#m
9,149505054,CRYME,Reality Rush (Christoph Faust Remix),SEVEN,House,126.0,Gm
10,209199395,"Davy, stbr",Ghost in the Jar (Original Mix),R.A.N.D. Muzik Recordings,Minimal House,128.0,Cm
11,247748670,Subb-an,Feel The Rise (Original Mix),X-Kalay,House,133.0,Dm
12,23801573,Soul of Hex,Feel The Power of Love (Original Mix),Faith Beat,House,127.0,Gm
13,3580887,Soul of Hex,Jet Set (Original Mix),Faith Beat,House,128.0,Gm
14,181270614,Radio Slave,Don't Stop No Sleep ,Rekids,Techno,128.0,Fm
15,234619659,Azaad,Be My Love ,Love On Cropsey,House,125.0,Ab
16,37320526,Pancratio,By The Way (Original Mix),Faith Beat,House,127.0,Gm
17,155505931,"Davy, stbr",Bongcong (Original Mix),R.A.N.D. Muzik Recordings,Deep Tech,128.0,Bbm
18,141215589,Subb-an,Grooves & Tools (Sub Series Tool 007) (Sub Series Tool 007),Sub Series,Techno (Raw  Deep  Hypnotic),131.0,Dm
19,160571284,Laylla Dane,B1 Tropical Dar (Pola Re-Ishmael Edit) VINYL ONLY ,All Inn,Minimal,124.99,E
20,153898223,CucaRafa & CRYME,"Esquerda, Direita (Cryme Remix)",Safe Space,Techno (Raw / Deep / Hypnotic),135.0,Gm
21,187075859,"Bashkka, Don Esquivel",Now You Want This (BASHKKA Remix),Major Records NYC,House,129.0,Am
22,117687923,Baka G,No Breaks All Fun (Retromigration Remix),SEVEN,House,134.0,Dbm
23,71884365,BLANKA (ES),Fearless (Original Mix),Room Trax,Minimal / Deep Tech,124.0,Em
24,147485219,Ackermann,The Feeling That Brought You Here (Confidential Recipe Remix),Safe Space,Deep House,138.0,Bbm
25,221003535,Soul of Hex,Computer Jazz (Original Mix),km 4.5,House,123.0,Fm
26,244917690,Eddie Richards,B1 Underskopje VINYL ONLY ,Repeat,Tech House,127.99,Cm
27,38450969,Satoshi Tomiie,Hauz Muzik (Original Mix),Phonogramme,House,122.0,Ebm
28,17397370,Subb-an,Presence (Original Mix),Major Records NYC,Deep House,130.0,Eb
29,254582193,Subb-an,Work It (Original Mix),Major Records NYC,House,130.0,Bbm
30,230843958,"Subb-an, Isis Salam",Body In Time (Original Mix),Eastenderz,Minimal / Deep Tech,131.0,Abm
31,8874293,Subb-an,Presence (Original Mix),Major Records NYC,Deep House,130.0,Eb
32,116786904,Subb-an,Sun 101,One Records,House,127.0,Am
33,66915049,Varhat,Howl004.1 (Original Mix),HOWL Label,Techno (Raw / Deep / Hypnotic),125.0,F#m
