track_no,content_id,artist,title,label,genre,bpm,key
1,189097017,Porter,Keep It VINYL ONLY ,Certain Circles,Tech House,125.98,Dm
2,264692509,Black Jazz Consortium,Blacklight (Original Mix),fabric Records (US),House,123.33,Dm
3,155791262,Kolter,Mind Twister (Original Mix),Berg Audio,Minimal / Deep Tech,130.0,Dm
4,210793784,A1 Blind Box,Would VINYL ONLY ,Blind Box Series,Minimal,127.0,Dm
5,19050520,Disk,B1 Solstice VINYL ONLY ,Whiteloops,Tech House,125.81,Gm
6,91652987,Youandewan,Pinger (Original Mix) ,Eclipser Chaser,Minimal,125.0,Gm
7,126707673,Mike Starr,Breakout (Thomas Stieler Rework),Biotop,Tech House,125.0,Gm
8,3391650,Terry Lee Brown Junior,Terry's House (Original Mix),Plastic City,House,129.87,Gm
9,4166219,Silverlining,Pleasures and Treasures (Original Mix),Silverlining Dubs,Deep House,132.03,Gm
10,75130551,"Malin Genie, Frits Wentink",Exopaq (Original Mix),Bobby Donny,Minimal / Deep Tech,136.0,Am
11,28989853,"Tikiman, Rhauder, Paul St. Hilaire",Control (Steve O'Sullivan Reconstruction),Sushitech,Deep House,126.0,Am
12,173548884,Youandewan,TV Fury (Original Mix),Small Hours,Electronica,129.0,Am
13,216103084,Diego Krause,B1 Greed VINYL ONLY ,Forax,Minimal,127.0,Am
14,14918168,Wax,50005 B,,Techno,131.0,Am
15,155748857,Bar-tolomeo,Castellammare (Priku Remix),BAR Musica,Minimal / Deep Tech,127.0,Am
16,28921103,Cuttler,Fancy Dance (Original Mix),Moral Fiber,Minimal / Deep Tech,130.0,Em
17,184384601,Shaun Reeves & Tuccillo,Clouds,Fabric,Tech House,125.0,Em
18,157383838,"Delano Smith, Brawther, D&B Productions",Symbiosis I (Original Mix),Sushitech,Techno (Raw / Deep / Hypnotic),128.7,Bm
19,200183939,DJ QU,Undescribed3(Execute) (Rolando Remix) (Execute),Syncrophone,Techno (Raw / Deep / Hypnotic),127.0,F#m
20,94097331,Stephan Bazbaz,B1 Dub Waves (Vinyl Speed Adjust Remix) VINYL ONLY ,No Waves,Minimal,126.0,F#m
21,229907190,"Rico Scott, Leigh Hunt",Node 03 (Original Mix),Bobby Donny,Deep House,126.0,Abm
22,91051483,"Dan Formless, Tileff",Control Room (Original Mix),Subtatic,Minimal,124.0,Abm
23,207735905,Medu,Evasion (Original Mix),Tip Tap Records,Minimal / Deep Tech,126.02,Abm
24,223273238,Silat Beksi,A1 Infinite O’Clock VINYL ONLY ,Afterhours,Minimal,126.99,Abm
25,181741530,D'Julz,Houdini,Bass Culture Records,House,125.0,Abm
26,19142109,Marco Carola,Pampero (Original Mix),Plus 8 Records,Techno (Peak Time / Driving),124.0,Abm
27,141616577,Andre Galluzzi & Daniel Stefanik,Datura ,Invade Records,Minimal,127.0,Bbm
28,158747672,Malin Genie & Per Hammar,B1 Disposer VINYL ONLY ,De Vloer,Minimal,128.0,Bbm
29,245242993,Mark Ambrose,A2 Untitled 2 VINYL ONLY ,Curated by Time,Tech House,124.87,Bbm
30,240343689,Doubtingthomas,B1 Drive VINYL ONLY ,Gaazol,Deep House,128.0,Dbm
31,166661927,AKA Adeline,Satisfaction (Tuccillo Dub Mix),Liveism,Minimal / Deep Tech,127.0,Cm
32,116565806,Tom Pooks,Colchonero (Duomek Remix),,House,127.0,Cm
33,253361593,Per Hammar x Malin Genie,Snel Dubb,De Vloer,Techno,128.0,Cm
34,14372368,Janeret,Huk (Original Mix),Rawax,Minimal,125.0,Cm
35,98038067,Orlando Voorn,Asylum (G-Man Version 2) ,Triangle.Records,Minimal,134.0,Cm
36,9184875,B2 Priku,Somaj Technics VINYL ONLY ,Berg Audio,Minimal,127.99,Fm
37,53979081,Jerome Sydenham & Argy,Whisper Track (Dub),Ibadan Records,Deep House,128.0,Fm
38,116977098,"Bruno Pronsato, Richard Rozen",You Don't Say (Original Mix),Logistic Records,Minimal / Deep Tech,120.0,F#
39,226033809,D'Julz,Triumphant  (Original Mix),Bass Culture Records,House,128.0,A
40,162284141,"Delano Smith, Brawther, D&B Productions",Symbiosis IV (Original Mix),Sushitech,Techno (Raw / Deep / Hypnotic),128.0,E
41,55660571,"Chez Damier, Ron Trent & M.D",B1pres107,Prescription,House,124.03,E
42,210689331,Wax,700007A,Wax,House,126.0,Eb
43,17696416,Markus Suckut,Breeze (Original Mix),Rekids,Minimal / Deep Tech,124.0,Eb
44,94708926,Paolo Rocco,Get Social (Dub Mix),La Vie En Rose,Deep House,125.0,Ab
45,258326182,D&B Productions,Symbiosis IV,Sushitech Records,House,128.0,Ab
46,164590537,Jay Tripwire,B2 Smoothin’ It Out VINYL ONLY ,Repeat,Deep House,127.99,Bbm
47,176008792,Melodie & Robert Roman,A2 Leaving VINYL ONLY ,ubiyu,Minimal,124.0,Dbm
48,148659501,Dana Ruh,Howl008.3 VINYL ONLY ,Howl,Minimal,125.0,F#m
49,244011875,Eddie Richards,Danger ,Sweatbox Records,Tech House,125.0,F#
50,97158080,Lewis Boardman,Home,Cadenza Records,Tech house,121.0,Bm
51,12980585,"Willie Graff, Tuccillo",To the Music (DJ QU Remix),Strength Music Recordings,Deep House,125.0,Abm
52,237874330,"Enzo Leep, Emma Barber, Alffie, Enzo Leep & Alffie",Waiting feat. Emma Barber (Original Mix),Get Physical Music,Minimal / Deep Tech,127.0,E
53,242351061,East End Dubs,Whisper (Original Mix),Eastenderz,Minimal / Deep Tech,127.0,Bb
54,2083772,Paul Johnson,I'm A Freak,Music Is Love Records,House,129.77,F#m
55,247769824,Johnny D,Dream System (Original Mix),Golden Gate Club Records,Deep Tech,131.0,Ebm
56,174786538,Steve O'Sullivan,Bitter Sweat (Original Mix),Convent,Deep House,128.0,Ebm
57,246726307,Eddie Richards,C2 Helicopter Feat Terry Francis (Eddie’s Smooth Landing Mix) VINYL ONLY ,Repeat,Tech House,126.98,Am
58,108539857,DJ QU,Undescribed3 (Execute) (Original Mix),Syncrophone,Tech House,125.0,Am
