track_no,content_id,artist,title,label,genre,bpm,key
1,24002736,Ketiov,JE 125BPM (Original Mix),Running Back,Tech House,125.01,Dm
2,232924736,Maco,Kissin (Terry Francis Remix),BienAimer Music,Deep Tech,130.0,Dm
3,49496300,"Ben Reymann, CRYME",Chordance (Original Mix),SEVEN,House,135.0,Gm
4,176241004,Deep Colors,Trippin' (Extended Mix),Adesso Music,House,130.0,Am
5,52004801,Mr. G,Lights (G's Out Dub),Phoenix G,House,129.0,Am
6,210461716,"DJ Haus, Confidential Recipe",Chain Reaction  (Original Mix),Dance Trax,House,136.0,F#m
7,232254469,"Ben Reymann, CRYME",WTTD (Original Mix),SEVEN,Techno (Peak Time  Driving),135.0,F#m
8,5881706,Anja Schneider,Pusher (Original Mix),Sous Music,House,130.0,Bbm
9,19242649,"Didier Sinclair, DJ Chris Pi",Groove 2 Me (Original Mix),Serial Records,House,127.08,Bbm
10,258843181,Mr. G,I'm Dirty (Original Mix),Phoenix G,Tech House,124.99,Ebm
11,136611926,Andre Zimmer,Fundamental (Original Mix),fabric Records,Tech House,128.0,Abm
12,246221443,CRYME,HOLD ON (Volpe Remix),SEVEN,Techno (Peak Time / Driving),135.0,Abm
13,23970617,Reformed Society,Headspace (Bambounou Remix) ,UNCAGE,Techno (Raw / Deep / Hypnotic),130.0,Abm
14,98253970,Dino Lenny,Lose Control (Vince Watson Reshape),R&S Records,Deep House,126.0,Ebm
15,57537171,Munir Nadir,B2 Binary Technologies VINYL ONLY ,Odd One Tape,House,128.98,Abm
16,141723634,SW37,SW37A (Original Mix),Synewave,Techno (Raw / Deep / Hypnotic),131.96,Dbm
17,154114943,Erol Alkan,Automatic (Original Mix),Phantasy Sound,Deep House,130.0,Abm
18,43579594,Dino Lenny,NICE JUST PLAY ITLose Control,R&S Records,Tech House,126.0,Eb
19,75460694,Bress Underground,My Brother (Original Mix),Tribute Records,House,131.0,Ab
20,227809286,Big Miz,Dreamer (CRYME Remix),Happiness Therapy,House,133.0,Fm
21,15723153,DJ City,Cexpress,Vitamina Musica,House,126.0,Bm
22,4609759,Matheiu,Elektric Skin  (Original Mix),Rockets Audio (Berlin),Minimal / Deep Tech,129.0,A
23,1029083,D'Julz,Dragon Dub (Original Mix),Serial Records,House,128.04,D
24,11295225,Nina Kraviz,Ghetto Kraviz (Steve Rachmad's Jack Mix),Rekids,Tech House,128.0,C
25,132994553,"Johannes Heil, Markus Suckut",Gospel Twelve feat. Markus Suckut (Original Mix),Odd Even,Techno (Peak Time / Driving),129.0,Fm
26,223433180,Guillermo Miranda,Gravity Pull (Original Mix),Cynosure Recordings,Minimal / Deep Tech,130.0,Cm
27,29703922,Daniel Stefanik,Just Too Easy (Original Mix),Tronic,Tech House,127.0,Eb
28,100914751,G Flame,I Want You,No.19 Music,Tech House,133.33,Ab
29,201226316,Tecture,Sell Your Body For Integrity VINYL ONLY ,Certain Circles,Tech House,131.98,Dm
30,242038429,1morning,I Know What You Do When You're Alone (Original Mix),Ilian Tape,Techno (Raw / Deep / Hypnotic),135.0,Cm
31,202537645,Silverlining,A1 Groundhog Rave VINYL ONLY ,Silverlining Dubs,Techno,128.0,Abm
32,257664202,Eddie Richards,A1 Joetwo VINYL ONLY ,Repeat,Tech House,127.99,Abm
33,171742804,Sweely,A2 Body Scan VINYL ONLY ,Display,House,130.0,Abm
34,40247576,Silat Beksi,Legit (Original Mix),Rawax,Tech House,126.0,Am
35,50759454,Markus Suckut,Glare (Original Mix),SCKT,Techno (Raw / Deep / Hypnotic),130.0,Am
36,31678122,Omni A.M.,Keep Doing That (Mark Ambrose Remix V.1.1),Euphoria Records,Deep House,124.88,Gm
37,122727176,Zombies In Miami,Unknown Pleasure (Original Mix),SEVEN,House,135.0,Em
38,22879849,Subb-an,Deep Inside (Original Mix),R.A.N.D. Muzik Recordings,Deep House,128.0,Abm
39,18940911,Subb-an,Sunday Morning (Original Mix),R.A.N.D. Muzik Recordings,Deep House,130.0,Em
40,79912790,Subb-an,Modus (Original Mix),R.A.N.D. Muzik Recordings,Minimal / Deep Tech,132.0,Dm
41,111267568,Lo:za,B1 Mystic Dream (Nu Zau Remix) VINYL ONLY ,Lok Records,Minimal,127.0,C
42,170102416,Stevn.aint.leavn,Tesla VINYL ONLY ,Certain Circles,Tech House,129.98,Db
43,112294043,Dennis Quin,Lucky Bastard (Original Mix),Solid Grooves Raw,Minimal / Deep Tech,129.0,Eb
44,173661553,Marius Acke,Funky Mellow Trip (Remastered),Happiness Therapy,House,133.31,Bbm
45,159935818,CRYME,Bring Me,...is serving,House,135.0,Bbm
46,225028415,Christoph Faust,Keep It Up (Original Mix),SEVEN,House,132.0,Fm
47,139856257,Gabriel Belabbas,World Order (Original Mix),Automatic Writing,Minimal / Deep Tech,131.0,F#m
48,162994239,CRYME,Back2Room,...is serving,House,135.0,Gm
49,163298977,GusGus,Your Moves Are Mine (Sanasol Remix),AE Recordings,Techno (Peak Time / Driving / Hard),127.0,Bbm
50,122783574,Posture (BER),4 Ur Luv (Original Mix),SEVEN,House,137.0,Am
