track_no,content_id,artist,title,label,genre,bpm,key
1,95420860,"Jake Childs, Paul Dyne",B1 Typical Of You VINYL ONLY ,Undergroove,House,125.01,Gm
2,258980845,Nina Kraviz,tarde (melchior productions ltd late mix),Nina Kraviz Music,Minimal / Deep Tech,125.0,Gm
3,88878640,Mike Starr,Change (Original Mix),Biotop,Deep House,125.0,Am
4,135787415,Silat Beksi,Small Dawg  (Original Mix),Silat Beksi Music,Minimal / Deep Tech,127.0,Am
5,19440220,"Tuccillo, Kindbud",On the floor (Original Vocal Mix),House of Tucci,Deep House,125.0,Em
6,1288473,"Daniel Solar, Delano Smith",Dirtiest Clean (Delano Smith Dirty Dub),Kolour Recordings,Deep House,125.0,Bm
7,25669835,Jody Watley,Off The Hook (MAW Dub),Defected,House,125.04,Bm
8,131610700,Franck Roger,It's Time To Care,Seasons Limited,Deep House,127.0,F#m
9,131198343,Saison,Spark It Up (Extended Mix) [feat. Miss Patty],Big Love Music,House,125.0,F#m
10,178770270,DJ QU,Undescribed2 (She's Blank) (Original Mix),Syncrophone,Deep House,127.0,Bbm
11,79805056,DJ Merci,Deux Trois ,I'm In Love,House,125.0,Ab
12,99892636,Oleg Poliakov,Besides (Original Mix),Bass Culture Records,Deep House,125.0,Gm
13,143074837,Shonky & Alexander Skancke,A1 The Answer VINYL ONLY ,Stoned Pilot,House,126.5,Am
14,104715504,Chris Stussy,Never Tell Me,Large Music,House,121.0,Gm
15,25431002,Chris Stussy,Soul Patrol,Large Music,House,121.0,Gm
16,72841734,Phil Weeks,Nasty Girl (Original Mix),Robsoul Recordings,House,124.01,A
17,228934180,Soul Of Hex,Nobody ft Cromie,Freerange Records,Deep House,124.0,Fm
18,160813283,Wreal,Feels Good (Joss Moog Funky Remix),Layers Label,Deep House,124.0,Gm
19,81965113,Mihai Popoviciu,Waitin' (Original Mix),Berg Audio,Minimal / Deep Tech,128.0,Bbm
20,245693020,Gemini,Take Your Time (Original),Cyclo Recordings,Deep House,127.99,Ebm
21,73757465,Alexander East,Jest 4 Me (BHQ Instrumental),Afterhours,Deep House,127.03,F#m
22,165589581,Ackermann,Alter (Simon Hinter Remix),Safe Space,Deep House,128.96,C
23,197938100,Da Rebels,House Nation Under a Groove,20/20 Vision,House,121.66,A
24,18507118,Mike Starr & Mama,Love Away (Douglas Greed Remix),Clepsydra,Tech House,123.0,Fm
25,143207290,"Dano, Joeski",Chikko Vox (Vocal Mix),Red Melon Records,House,129.0,Fm
26,140807799,Adam Collins & Mister Ali,Neptunes Android,ubiyu,Minimal / Deep Tech,128.0,E
27,109818588,Kerouac,A2 Active Meditation VINYL ONLY ,Murmurations,Tech House,127.0,Fm
28,29984222,"Traumer, Anton, antraum",Fukai (Original Mix),omakase_dgtl,Minimal  Deep Tech,125.0,Em
29,51116537,Lump,U Need Me (Original Mix),Contexterrior,"House, Deep House/Deep Tech",124.0,Em
30,258308777,Francesco Forgione,I Feel It (Original Mix),Miniline,Minimal / Deep Tech,130.0,Abm
31,151054762,Wiremü,The Subtle Hustle,Modeight,Minimal / Deep Tech,130.0,Am
32,140467199,Alkalino,Seven Sisters (Original Mix),Audaz,Deep House,130.0,Gm
33,104414759,A1 Lazer Man,Que vas tu faire VINYL ONLY ,Undergroove Records,Deep House,130.0,Cm
