track_no,content_id,artist,title,label,genre,bpm,key
1,14177439,"Steffi, Virginia",Touching-U (Instrumental),Dekmantel,House,130.02,Dm
2,27825323,Big Miz,Dreamer (Original Mix),Happiness Therapy,House,132.0,Gm
3,23347304,Zombies in Miami,The Rhythm,Creatures Of The Night,House,133.0,Gm
4,53429508,"Giammarco Orsini, Pancratio",B2 Oumuamua VINYL ONLY ,One Trip To Avyon,Tech House,128.0,Gm
5,204064561,Easttown,Chaos,Cecille,House,130.0,Gm
6,21380649,Rob Pearson & Robin Ball,B1 The Right Vibes VINYL ONLY ,Evasive Records,Tech House,127.6,Am
7,165404143,Ozzie Guven,Flip The Switch,neXup recz,Minimal / Deep Tech,131.0,Am
8,203392717,Guest (UK),Raggadaga  (Original Mix),BienAimer Music,Minimal / Deep Tech,130.0,Am
9,212650150,Munir Nadir,CK (Original Mix),Signatune Records,House,130.0,Am
10,133414918,"Big Miz, Bessa (Sco)",Movement,Happiness Therapy,House,132.0,Am
11,31687007,Kolter,The Personality (Original Mix),Koltrax,Deep House,132.0,Em
12,184324308,Dennis Quin,Ascending (Extended Mix),Dennis Quin,House,130.0,Abm
13,73943493,Voodoos & Taboos,Endless Game (Original Mix),Duality Trax,Minimal,130.0,Abm
14,89818604,CRYME,Ma Soul (Original Mix),Creatures Of The Night,House,133.0,Abm
15,116212630,Dafs,Don't Stop (Extended) ,Seduction Records,House,127.0,Abm
16,14461011,LondonGround,Rut (Original Mix),We Are Pyramid,House,128.0,Bbm
17,35777589,Armando,100% Of Disin' You (Warehouse Mix),High Fashion Digital,House,128.56,Bbm
18,80234284,Locky & Mad.Again,Bet u Wanna ,UVAR,Minimal,133.0,Bbm
19,115677072,Naone,Maetel's Secret (Original Mix),Safe Trip,House,128.0,Ebm
20,62465090,Theta State,Jungle Boogie ,Casa Theta Records,Minimal,130.0,Ebm
21,76078367,Hassler,Have You Ever Found Yourself  (HearThuG Reinterpretation Mix),theBasement Discos,Minimal / Deep Tech,128.0,Ebm
22,83696950,DJ Life,Gnagnag,Distant Horizons,House,130.0,Ebm
23,124345296,Di Chiara Brothers,Be Back (Original Mix),Eastenderz,Minimal / Deep Tech,133.0,Ebm
24,29697404,HearThuG,Beat Dis!,Are You Alien,Tech House,129.0,Ebm
25,45576822,Reflex Blue,Scat Man (Original Mix),Limousine Dream,Tech House,131.0,Dbm
26,169593720,Kolter,I Need a Fix (Original Mix),Koltrax,Minimal / Deep Tech,128.0,Dbm
27,165073465,Munir Nadir,B1 Urban Whispers VINYL ONLY ,Odd One Tape,House,129.99,Cm
28,96229576,"Paul Cut, Aline Umber",Memorize Your Face (Aline Umber Rework),Automatic Writing,House,127.0,Fm
29,213796195,B1 Charonne,Midnight Fluid VINYL ONLY ,Antam Records,Minimal,130.0,Fm
30,124877393,Sally C,Control,Big Saldo's Chunkers,House,132.0,Fm
31,94571209,Milion,Tuin Van Bret (Original Mix),Limousine Dream,House,130.0,E
32,110661051,CRYME,Let It Move You (Extended),HE.SHE.THEY.,House,133.0,C
33,201235130,Luca Donzelli,Lektro Fever (Original Mix),PIV Club,Deep House,130.0,Ab
34,198475446,Nic Fanciulli,Lalo's Groove (Marco Carola Edit),Saved Records,House,128.0,F#m
35,241942831,Philip Chernikov,I Don't Like Bugs (Original Mix),HOT-Q,House,127.0,Bb
36,220891873,Alec Dienaar,What's Da Record (Ned Bennett Remix),Alec Dienaar,House,132.0,Cm
37,90891834,Joshwa,Time 2 Move (Extended Mix),Hellbent Records,Tech House,132.0,Am
