track_no,content_id,artist,title,label,genre,bpm,key
1,83380774,Blind Box feat Hector Moralez,Haus (Chris Carrier Remix) VINYL ONLY,Blind Box Series,House,125.2,Am
2,75378552,Subb-an,B1 Indulge VINYL ONLY ,Blind Box Series,Tech House,127.0,Bbm
3,70504211, Tecture,Rebirth Vinyl Only,Certain Circles,Minimal,125.99,F#m
4,52154828,Satoshi Tomiie,07 DuB  (Original Mix),Phonogramme,Minimal / Deep Tech,126.0,Abm
5,50075677,NonniMal,Ronja,Thule Records,Techno (Peak Time / Driving),128.0,Bbm
6,69826744,Yamen & EDA,Ms Dos,One Records,House,125.0,Abm
7,244917690,Eddie Richards,B1 Underskopje VINYL ONLY ,Repeat,Tech House,127.99,Cm
8,233313183,Halo Varga,D1 Future (Pola Remix) VINYL ONLY ,All Inn Records,Tech House,126.0,Bm
9,210961430,Subb-an,A1 Push VINYL ONLY ,Blind Box Series,Tech House,126.0,Fm
10,9740712,Zenk,A2 Nairobi Market (Ted Amber Remix) VINYL ONLY ,Purple Print,Minimal,127.0,Ab
11,198899768,B1 Floog,Nine Lights VINYL ONLY ,Berg Audio,Minimal,126.0,Eb
12,45389177,Deep Moments,B1 Golden Ideas Dub VINYL ONLY ,Deep Moments,Tech House,126.0,C
13,190351828,iO (Mulen),B1 Xenon VINYL ONLY ,Mulen,Tech House,127.03,A
14,183684543,Dan Ghenacia & Chris Carrier,B2 Blue Stick VINYL ONLY ,Apollonia,Tech House,123.89,F
15,29011757,"Gideon Jackson, Daniel Poli",Ghost Dancing (Original Mix),Fabric,Tech House,125.0,F#m
16,35606719,Silat Beksi,Boogie Nightscream (Original Mix),Rawax,Tech House,128.0,A
17,197063515,Kelvin K,Dirty Basement (Original Mix),Nordic Trax,House,125.98,Bbm
18,89345540,Head Nodding Society,3 Way (Original Mix),Only1 Music,House,124.01,Cm
19,220897040,"Dan Formless, Tileff",Damaja (Original Mix),Subtatic,Minimal,123.0,Fm
20,39947465,DiSKOP,Funny Gait,Whiteloops,Minimal,125.86,Dm
21,59234374,Digital South,Last Lullaby (David Alvarado Remix),Lucidflow,Deep House,126.0,Abm
22,137136341,Subb-an,A2 Push (Dana Ruh Remix) VINYL ONLY ,Blind Box Series,Tech House,126.0,Am
23,185763498,Eddie Richards,C2 Medown (Fractured Mix) VINYL ONLY ,Repeat,Tech House,127.99,Db
24,79380162,Eddie Richards,B2 The Future VINYL ONLY ,Repeat,Tech House,127.98,Fm
25,82910074,Tommy Vicari Jnr,Under (Original Mix),Convent,Deep House,128.0,Bbm
