track_no,content_id,artist,title,label,genre,bpm,key
1,193437230,Oshana,B1 Ignus Fatuus (Verrina & Ventura Remix) VINYL ONLY ,BodyParts Vinyl,Minimal,124.0,Am
2,199674422,Skudge,Ontic (Rolando Understand's Remix),Skudge Records,Techno,129.0,Am
3,49471076,Burnski,DNA,Constant Sound,Tech House,125.0,Abm
4,134639380,Eddie Fowlkes,You Know!,City Boy Music (US),House,128.0,Dbm
5,111344711,Mattias El Mansouri,Sense Data (Ouzo Hallon Dub),Phonica Recordings,House,129.0,Dbm
6,199542918,Halo Varga,C2 Future (Howl Ensemble Remix) VINYL ONLY ,All Inn Records,Tech House,127.0,Bbm
7,152398303,Soul Of Hex,Nobody ft Cromie,Freerange Records,Deep House,124.0,Fm
8,216856680,EyeofPsi,Trade Whisperer (CRYME Remix),DESSERT,Deep House,130.0,Fm
9,35606719,Silat Beksi,Boogie Nightscream (Original Mix),Rawax,Tech House,128.0,A
10,136878150,Silat Beksi,B1 Flip Side VINYL ONLY ,Afterhours,Minimal,126.99,E
11,255695060,Silat Beksi,A2 Request Line VINYL ONLY ,Raru Movement,Minimal,125.81,G
12,229056298,"Bambounou, Priori",Dub Affectif,Bambe,Minimal / Deep Tech,130.0,Fm
13,233008759,Moritz Piske,Real One - The Realmixes Pt.1 (Roberto Rodriguez Stamping the Ground Mix),Opossum Recordings,House,124.0,Eb
14,170086235,"Risk Assessment, KE, Franck Roger",Feel That (Franck Roger Remix),Reel People Music,Deep House,124.0,Ebm
15,160454639,Philip Chernikov,A1 Bunda VINYL ONLY ,down2earth,House,125.99,Bb
16,94010895,Cosmjn,B2 Du Jour VINYL ONLY ,PATH,Minimal,127.0,Gm
17,203971098,Stephen Brown,Deep In (Hardspace Mix),LF RMX,Techno,130.0,Em
18,140106026,Bastien,Feel (Alejo Ruiz (AR) Remix),DMN TRAXX,Minimal / Deep Tech,127.0,Gm
19,60589527,Nathan Coles,Jiggy Jiggy (Original Mix),Is This,Tech House,125.8,Dm
20,118841545,Sweely,B1 Sex Pills VINYL ONLY ,Display,House,130.0,Cm
21,76974450,sanXero featuring Mr. V & Louie Vega,Let's Freak (Arnaud D Remix),Strictly Rhythm,House,124.0,Dbm
22,248397292,Red Pig Flower,Spiritual Thing (Original Mix),Kuukou Records,Minimal / Deep Tech,126.0,Am
23,100649088,Silat Beksi,Do Or Donut (Original Mix),Cadenza,Deep Tech,126.0,Ebm
24,211768856,grad u,Geomagnetic Storm,Redscale,House,123.99,Bb
25,220601374,Nudge,Howl012.2 VINYL ONLY,Howl,Deep House,122.98,Am
