track_no,content_id,artist,title,label,genre,bpm,key
1,16490557,Rh.cher,A1 Gwen VINYL ONLY ,SECRET SOCIETY CHILE,Minimal,128.0,Dm
2,47578415,"Jon Sable, Kenny Sterling",People Person (Original Mix),In Dust We Trust,Deep House,129.0,Dm
3,210793784,A1 Blind Box,Would VINYL ONLY ,Blind Box Series,Minimal,127.0,Dm
4,1050745,Altitude,Harmonic Scan VINYL ONLY,Assemble Music,Minimal,124.98,Dm
5,113684290,Markus Suckut,Infinity (Original Mix),SCKT,Techno (Raw / Deep / Hypnotic),128.0,Gm
6,1659342,Camiel Daamen,Future Self (Dub Mix) ,Freeborn Records,Deep House,125.0,Gm
7,91652987,Youandewan,Pinger (Original Mix) ,Eclipser Chaser,Minimal,125.0,Gm
8,107329347,IZA,Coasm,Morris Audio,Techno (Raw / Deep / Hypnotic),124.0,Gm
9,244161959,Mr. Lady,The Game (Originalmix),Freeborn Records,Minimal / Deep Tech,121.99,Am
10,28989853,"Tikiman, Rhauder, Paul St. Hilaire",Control (Steve O'Sullivan Reconstruction),Sushitech,Deep House,126.0,Am
11,163291768,Silat Beksi,B1 Monoliza VINYL ONLY ,Afterhours,Minimal,125.98,Em
12,170274398,Daniel Law,Futile Needs ,PURISM Wave,Minimal,120.0,Em
13,246599217,RQZ,B2 Phobos VINYL ONLY ,Afterhours,Minimal,125.94,Em
14,40448496,RQZ,A1 Sublevels VINYL ONLY ,Afterhours,Minimal,124.63,Em
15,130064412,Terry Francis feat. Ricardo Afonso,Rhythm Spirit ,Hallucienda,Deep House,129.0,Bm
16,129573279,Aleqs Notal,Hands On (Original Mix),RDV Music,House,122.0,F#m
17,35627918,Submod,B1 Caspar VINYL ONLY ,Ethernal,Minimal,123.99,F#m
18,85397030,Vlad Arapasu,A1 I Figured Out A Way To Be Outside VINYL ONLY ,Afterhours,Minimal,124.74,Abm
19,164925442,Chaos In the CBD,Echolocation,In Dust We Trust,Deep House,128.0,Bbm
20,203636624,Sepp,Apropierea Indepartata,LOK Records,Minimal / Deep Tech,125.0,Bbm
21,194119314,Brudan,Never (Dub) VINYL ONLY,Eclipser Chaser,Deep House,125.92,Bbm
22,15251188,Ryan Elliott,4Jm7,Faith Beat,Techno (Raw / Deep / Hypnotic),129.0,Ebm
23,201705650,Audio Werner,High,Hartchef Discos,Techno,125.0,Ebm
24,155346676,Nesta,Light Tower,,,122.0,Dbm
25,53047454,Yama Music,Soho (Silat Beksi Remix),flurt.,Minimal  Deep Tech,125.0,Ebm
26,124772853,Nick Beringer & Philipp Boston,Greenhill Hook VINYL ONLY ,Certain Circles,Tech House,126.97,Bbm
27,131987448,Miroloja,A1 Kard VINYL ONLY ,Hubble Recordings,Minimal,125.0,Fm
28,116565806,Tom Pooks,Colchonero (Duomek Remix),,House,127.0,Cm
29,34703144,Yaleesa Hall & Malin Genie,B2 Coronal Loop VINYL ONLY ,Malin Genie,Minimal,127.01,Cm
30,251260621,MOi,A1 A VINYL ONLY ,MOi,Tech House,126.0,Db
31,71788871,E1 Mihai Popoviciu,Simetric VINYL ONLY ,Berg Audio,Minimal,126.0,Eb
32,118849453,Holgi Star,Lolita for Life,Clepsydra,Tech House,123.0,Db
33,21658904,Tex Ture,Leaf (Original Mix),Fragments,Minimal / Deep Tech,125.0,Ab
34,22043784,Silat Beksi,B2 Elephant Dream VINYL ONLY ,Afterhours,Minimal,124.01,Fm
35,6002625,Vid,B2 Tarziu VINYL ONLY ,Afterhours,Minimal,124.0,Cm
36,238419192,Levi Verspeek,A2 Octo VINYL ONLY ,Slapfunk Records,Minimal,122.0,E
37,28104130,Pijynman,Erthua ,Berg Audio,Minimal,126.0,F#
38,244080394,Jon Sable,Sleep Suit ,In Dust We Trust,Deep House,127.0,F#
39,46692707,Ed Herbst,L'art De Vivre VINYL ONLY ,Certain Circles,Tech House,124.97,Eb
40,189471075,Karcelen,Shinshi (Cabanne Remix),Dreams On Wax,Minimal,128.0,Fm
41,59037344,Karcelen,Wanaka (Audio Werner Remix),Dreams On Wax,Minimal,125.0,Ebm
42,82600371,UnAporte,Luna City (Original Mix),Utro,Minimal  Deep Tech,128.0,Am
43,88774824,East End Dubs,B2 Enhance VINYL ONLY ,Infuse,Tech House,125.0,Ab
44,53566574,Leo Pol,F.e.m VINYL ONLY,IILE Records,Deep House,129.0,Fm
45,117082484,Howl Ensemble,A2 Kindness VINYL ONLY ,TURQUOISE BLUE RECS,Deep House,126.0,Gm
46,7286869,SOST,Hidden Skeleton (Original Mix),Phonogramme,Minimal  Deep Tech,130.0,Fm
47,141072628,C1 Cleymoore,Endless Rotation VINYL ONLY ,Rotate,Minimal,126.0,Abm
48,185807074,Nick Beringer & Philipp Boston,Greenhill Hook VINYL ONLY ,Certain Circles,Tech House,126.97,Bbm
49,223273238,Silat Beksi,A1 Infinite O’Clock VINYL ONLY ,Afterhours,Minimal,126.99,Abm
50,2795263,Steve O'Sullivan,Bitter Sweat (Original Mix),Convent,Deep House,128.0,Ebm
51,134776835,,So Inagawa - Sekito,,,128.0,Abm
52,23135637,Minimal Man,B1 Stay On (A.M. Edit) VINYL ONLY ,Perlon,Minimal,133.31,Am
53,134312405,Ortella,Let's Go To The Bitch Vinyl Only,Mad In Lyon,Minimal,122.99,Ebm
54,237329404,fleet.dreams,Semioptila,Vinezza,Electronica,133.0,Ebm
55,238633855,Ion Ludwig,B2 Le Imagen VINYL ONLY ,Trelik Records,Tech House,124.98,Fm
56,233313183,Halo Varga,D1 Future (Pola Remix) VINYL ONLY ,All Inn Records,Tech House,126.0,Bm
