track_no,content_id,artist,title,label,genre,bpm,key
1,96037895,Daniel Law,Never The Same ,PURISM Wave,Minimal,122.0,Dm
2,6372445,DJ Deep,Sunday Loop - Traumer Stripped Down (Original Mix),Gettraum,Deep House,126.0,Gm
3,9604981,Havantepe,Passing By (Roger Gerressen Rmx) VINYL ONLY,BERG AUDIO,Tech House,125.94,Gm
4,201744054,F2 Janeret,Subduction VINYL ONLY ,Berg Audio,Minimal,123.01,Am
5,18842866,Ortella,Get It VINYL ONLY ,Rutilance Recordings,Deep House,122.98,F#m
6,191867408,Sven Weisemann,Vibe (Original Mix),Mojuba,Deep House,126.0,Bbm
7,37394119,Janeret,Yubu (Original Mix),Rawax,Deep House,124.0,Ebm
8,163433656,Powel,Lullaby For Eyebrights (Original Mix),SATYA,Deep House,121.0,Dbm
9,239349060,"Mr. Statik, Lee Burton, Steampunkd",Peanuts In Love (Ion Ludwig Remix),Amam,Deep House,119.99,Abm
10,107562339,A1 Traumer,Perspective VINYL ONLY ,Berg Audio,Minimal,126.0,C
11,168324821,Andre Kronert,18273 (Original Mix),Odd Even,Techno (Raw / Deep / Hypnotic),123.0,Eb
12,141069789,Ion Ludwig,D1 Sparse Hypnotimes VINYL ONLY ,Trelik Records,Minimal,124.98,Fm
13,34703144,Yaleesa Hall & Malin Genie,B2 Coronal Loop VINYL ONLY ,Malin Genie,Minimal,127.01,Cm
14,263552281,Van Bonn & Luis Baltes,Natural,Van Bonn Records,Techno (Raw / Deep / Hypnotic),125.02,Cm
15,144122634, Jonathan Ritzmann & Marius Krickow,Orbit Vinyl Only,Beste Modus,Minimal,125.99,Cm
16,183253021,Tecture,The Fold ,Berg Audio,Minimal,125.0,F
17,60095574,,Makam - Glacial Valley,,,128.82,Eb
18,227291565,A Psychic Yes,Maze Dream (Sapphire Slows Remix),Kalahari Oyster Cult,House,123.0,Gm
19,224520947,Grad_u,B1 Decay VINYL ONLY ,Redscale,Techno,123.14,Bm
20,241081772,Ortella,B2 Work I VINYL ONLY ,Mad In Lyon,Tech House,120.96,Bm
21,24046910,Adaru,PEAK GROOVE//No Turning Back (Extended Mix),,Tech House,125.0,Fm
22,239596527,"Huxley, Montel",Funny You Should Say That (Harry Romero Remix),Incorrect,Tech House,124.0,Gm
