display_id,zip_url,artist,title,genre,confidence_score,is_match,outlier_reasons,profile
7965638,https://srv.remmex.com/dwnld/release/7723252.zip?mp3,Ferrari,Crazy Love (Original Mix),house,57.1,maybe,,orbit_core
7965638,https://srv.remmex.com/dwnld/release/7723252.zip?mp3,Ferrari,Heavy Duty (Original Mix),house,57.1,maybe,,orbit_core
7965638,https://srv.remmex.com/dwnld/release/7723252.zip?mp3,Ferrari,Treno Diurno (Original Mix),house,57.1,maybe,,orbit_core
7965638,https://srv.remmex.com/dwnld/release/7723252.zip?mp3,Ferrari,Worksense (Original Mix),house,57.1,maybe,,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,2 Funky (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,Get On The Bus (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,Inner Voices (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,Lover's Groove (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,Seein' Is Believin' (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,So Fine (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,Stone Crazy (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967389,https://srv.remmex.com/dwnld/release/7725003.zip?mp3,4 Da People,Your Loss My Gain (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967397,https://srv.remmex.com/dwnld/release/7725011.zip?mp3,4 Mallet,Camille Saint-Saëns Aquarium (from The Carnival of the Animals Original Mix),house,35.7,no,low_confidence,orbit_core
7967410,https://srv.remmex.com/dwnld/release/7725024.zip?mp3,A Glimpse,Dictate (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967410,https://srv.remmex.com/dwnld/release/7725024.zip?mp3,A Glimpse,Exclude (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967410,https://srv.remmex.com/dwnld/release/7725024.zip?mp3,A Glimpse,Manifest (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967410,https://srv.remmex.com/dwnld/release/7725024.zip?mp3,A Glimpse,Seal (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967410,https://srv.remmex.com/dwnld/release/7725024.zip?mp3,A Glimpse,Specify (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967410,https://srv.remmex.com/dwnld/release/7725024.zip?mp3,A Glimpse,Subdue (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,"A97, Naveci",Hipotético (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967036,https://srv.remmex.com/dwnld/release/7724650.zip?mp3,ADDFX,Two Colours (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967452,https://srv.remmex.com/dwnld/release/7725066.zip?mp3,ALSA,LooseScrew (New Version),deep house,35.7,no,low_confidence,orbit_core
7967491,https://srv.remmex.com/dwnld/release/7725105.zip?mp3,ASTROZ,One More (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967499,https://srv.remmex.com/dwnld/release/7725113.zip?mp3,AXISS LIMA,Dimensions (Extended Mix),house,35.7,no,low_confidence,orbit_core
7967418,https://srv.remmex.com/dwnld/release/7725032.zip?mp3,"Abdullah Ozdogan, Grup Prefabrik",Dreaming Fiction Method (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7966504,https://srv.remmex.com/dwnld/release/7724118.zip?mp3,AblueCatt,Metanoia (Abluecatt Remix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Adelaid,Seductive Sound (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967782,https://srv.remmex.com/dwnld/release/7725396.zip,Adolfo Moara,B_TCH (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967424,https://srv.remmex.com/dwnld/release/7725038.zip?mp3,Adro,Breathless (Extended Mix),deep house,35.7,no,low_confidence,orbit_core
7967424,https://srv.remmex.com/dwnld/release/7725038.zip?mp3,Adro,Breathless (Instrumental Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967430,https://srv.remmex.com/dwnld/release/7725044.zip?mp3,Afro Tunen,Tribal Steel (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967432,https://srv.remmex.com/dwnld/release/7725046.zip?mp3,Agus Serra,Shining (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967438,https://srv.remmex.com/dwnld/release/7725052.zip?mp3,"Alan klap, Kolexs",Felling (Extended Mix Rework),house,35.7,no,low_confidence,orbit_core
7967440,https://srv.remmex.com/dwnld/release/7725054.zip?mp3,Albert Retamero,Evening (Original 2026 Mix),deep house,35.7,no,low_confidence,orbit_core
7967441,https://srv.remmex.com/dwnld/release/7725055.zip?mp3,Ale Frosty,Held Breath (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7967441,https://srv.remmex.com/dwnld/release/7725055.zip?mp3,Ale Frosty,Now or Never (Original Mix),deep house,35.7,no,low_confidence,orbit_core
7966985,https://srv.remmex.com/dwnld/release/7724599.zip?mp3,Alejandre,TDH Protocol (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967783,https://srv.remmex.com/dwnld/release/7725397.zip,Alex Lauthals,Hypnotize (Extended Mix),house,35.7,no,low_confidence,orbit_core
7967453,https://srv.remmex.com/dwnld/release/7725067.zip?mp3,Alver Deejay,The Next (Original Mix),tech house,35.7,no,low_confidence,orbit_core
7967454,https://srv.remmex.com/dwnld/release/7725068.zip?mp3,"Ambra, Cloud6",Nothing To Say (Remix),tech house,35.7,no,low_confidence,orbit_core
7967455,https://srv.remmex.com/dwnld/release/7725069.zip?mp3,"Ambra, Cloud6",Stay Positive (Sixsense Remix),tech house,35.7,no,low_confidence,orbit_core
7967456,https://srv.remmex.com/dwnld/release/7725070.zip?mp3,Amedeo Picone,Echoes Of Dance (Extended Mix),house,35.7,no,low_confidence,orbit_core
7967456,https://srv.remmex.com/dwnld/release/7725070.zip?mp3,Amedeo Picone,Hot Shot (Extended Mix),tech house,35.7,no,low_confidence,orbit_core
7967456,https://srv.remmex.com/dwnld/release/7725070.zip?mp3,Amedeo Picone,Samba Love (Extended Mix),house,35.7,no,low_confidence,orbit_core
7967460,https://srv.remmex.com/dwnld/release/7725074.zip?mp3,Andy Peimbert,Camino Del Pecador (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967460,https://srv.remmex.com/dwnld/release/7725074.zip?mp3,Andy Peimbert,Euforia Constante (Original Mix),minimal / deep tech,35.7,no,low_confidence,orbit_core
7967467,https://srv.remmex.com/dwnld/release/7725081.zip?mp3,Antony Pail,Following the Footsteps (Original Mix),house,35.7,no,low_confidence,orbit_core
7967467,https://srv.remmex.com/dwnld/release/7725081.zip?mp3,Antony Pail,Holup (Original Mix),house,35.7,no,low_confidence,orbit_core
7967467,https://srv.remmex.com/dwnld/release/7725081.zip?mp3,Antony Pail,Poolside (Original Mix),house,35.7,no,low_confidence,orbit_core
7967467,https://srv.remmex.com/dwnld/release/7725081.zip?mp3,Antony Pail,Red Lights (Original Mix),house,35.7,no,low_confidence,orbit_core
7967467,https://srv.remmex.com/dwnld/release/7725081.zip?mp3,Antony Pail,Tendernism (Original Mix),house,35.7,no,low_confidence,orbit_core
7967467,https://srv.remmex.com/dwnld/release/7725081.zip?mp3,Antony Pail,We Can Do It Better (Original Mix),house,35.7,no,low_confidence,orbit_core
7966931,https://srv.remmex.com/dwnld/release/7724545.zip?mp3,Apolo,Odyssey (Original Mix),deep house,35.7,no,low_confidence,orbit_core
