track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
111267568,B1 Mystic Dream (Nu Zau Remix) VINYL ONLY ,Lo:za,Lok Records,Minimal,127.0,C,45.0,yes,low_confidence; singleton_genre_in_flow,bpm_within_p10_p90; artist_in_flow_corpus,genre_in_top8; key_in_top8; label_in_top15
258843181,I'm Dirty (Original Mix),Mr. G,Phoenix G,Tech House,124.99,Ebm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
31678122,Keep Doing That (Mark Ambrose Remix V.1.1),Omni A.M.,Euphoria Records,Deep House,124.88,Gm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
202537645,A1 Groundhog Rave VINYL ONLY ,Silverlining,Silverlining Dubs,Techno,128.0,Abm,60.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
163298977,Your Moves Are Mine (Sanasol Remix),GusGus,AE Recordings,Techno (Peak Time / Driving / Hard),127.0,Bbm,60.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
24002736,JE 125BPM (Original Mix),Ketiov,Running Back,Tech House,125.01,Dm,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
210461716,Chain Reaction  (Original Mix),"DJ Haus, Confidential Recipe",Dance Trax,House,136.0,F#m,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
141723634,SW37A (Original Mix),SW37,Synewave,Techno (Raw / Deep / Hypnotic),131.96,Dbm,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
75460694,My Brother (Original Mix),Bress Underground,Tribute Records,House,131.0,Ab,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
15723153,Cexpress,DJ City,Vitamina Musica,House,126.0,Bm,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
4609759,Elektric Skin  (Original Mix),Matheiu,Rockets Audio (Berlin),Minimal / Deep Tech,129.0,A,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
11295225,Ghetto Kraviz (Steve Rachmad's Jack Mix),Nina Kraviz,Rekids,Tech House,128.0,C,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
223433180,Gravity Pull (Original Mix),Guillermo Miranda,Cynosure Recordings,Minimal / Deep Tech,130.0,Cm,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
100914751,I Want You,G Flame,No.19 Music,Tech House,133.33,Ab,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
242038429,I Know What You Do When You're Alone (Original Mix),1morning,Ilian Tape,Techno (Raw / Deep / Hypnotic),135.0,Cm,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
