track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
241942831,I Don't Like Bugs (Original Mix),Philip Chernikov,HOT-Q,House,127.0,Bb,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
96229576,Memorize Your Face (Aline Umber Rework),"Paul Cut, Aline Umber",Automatic Writing,House,127.0,Fm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
21380649,B1 The Right Vibes VINYL ONLY ,Rob Pearson & Robin Ball,Evasive Records,Tech House,127.6,Am,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
116212630,Don't Stop (Extended) ,Dafs,Seduction Records,House,127.0,Abm,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
110661051,Let It Move You (Extended),CRYME,HE.SHE.THEY.,House,133.0,C,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
201235130,Lektro Fever (Original Mix),Luca Donzelli,PIV Club,Deep House,130.0,Ab,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
198475446,Lalo's Groove (Marco Carola Edit),Nic Fanciulli,Saved Records,House,128.0,F#m,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
14177439,Touching-U (Instrumental),"Steffi, Virginia",Dekmantel,House,130.02,Dm,85.0,no,,bpm_within_p10_p90; genre_in_top8; label_in_top15; artist_in_flow_corpus,key_in_top8
31687007,The Personality (Original Mix),Kolter,Koltrax,Deep House,132.0,Em,85.0,no,,bpm_within_p10_p90; genre_in_top8; label_in_top15; artist_in_flow_corpus,key_in_top8
35777589,100% Of Disin' You (Warehouse Mix),Armando,High Fashion Digital,House,128.56,Bbm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
80234284,Bet u Wanna ,Locky & Mad.Again,UVAR,Minimal,133.0,Bbm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
