track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
237329404,Semioptila,fleet.dreams,Vinezza,Electronica,133.0,Ebm,30.0,yes,low_confidence; bpm_outside_p10_p90; singleton_genre_in_flow,key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; genre_in_top8; label_in_top15
129573279,Hands On (Original Mix),Aleqs Notal,RDV Music,House,122.0,F#m,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
238419192,A2 Octo VINYL ONLY ,Levi Verspeek,Slapfunk Records,Minimal,122.0,E,40.0,yes,low_confidence; bpm_outside_p10_p90,genre_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8; label_in_top15
155346676,Light Tower,Nesta,,,122.0,Dbm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
7286869,Hidden Skeleton (Original Mix),SOST,Phonogramme,Minimal  Deep Tech,130.0,Fm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
23135637,B1 Stay On (A.M. Edit) VINYL ONLY ,Minimal Man,Perlon,Minimal,133.31,Am,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
134312405,Let's Go To The Bitch Vinyl Only,Ortella,Mad In Lyon,Minimal,122.99,Ebm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
201705650,High,Audio Werner,Hartchef Discos,Techno,125.0,Ebm,60.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; key_in_top8; artist_in_flow_corpus,genre_in_top8; label_in_top15
244161959,The Game (Originalmix),Mr. Lady,Freeborn Records,Minimal / Deep Tech,121.99,Am,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
170274398,Futile Needs ,Daniel Law,PURISM Wave,Minimal,120.0,Em,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
130064412,Rhythm Spirit ,Terry Francis feat. Ricardo Afonso,Hallucienda,Deep House,129.0,Bm,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
35627918,B1 Caspar VINYL ONLY ,Submod,Ethernal,Minimal,123.99,F#m,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
34703144,B2 Coronal Loop VINYL ONLY ,Yaleesa Hall & Malin Genie,Malin Genie,Minimal,127.01,Cm,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
251260621,A1 A VINYL ONLY ,MOi,MOi,Tech House,126.0,Db,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
118849453,Lolita for Life,Holgi Star,Clepsydra,Tech House,123.0,Db,70.0,no,,bpm_within_p10_p90; genre_in_top8; artist_in_flow_corpus,key_in_top8; label_in_top15
