track_id,name,artist,label,genre,bpm,key,confidence_score,is_outlier,outlier_reasons,rules_matched,rules_failed
163433656,Lullaby For Eyebrights (Original Mix),Powel,SATYA,Deep House,121.0,Dbm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
239349060,Peanuts In Love (Ion Ludwig Remix),"Mr. Statik, Lee Burton, Steampunkd",Amam,Deep House,119.99,Abm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90; key_in_top8
241081772,B2 Work I VINYL ONLY ,Ortella,Mad In Lyon,Tech House,120.96,Bm,55.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; artist_in_flow_corpus,bpm_within_p10_p90; label_in_top15
34703144,B2 Coronal Loop VINYL ONLY ,Yaleesa Hall & Malin Genie,Malin Genie,Minimal,127.01,Cm,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
60095574,Makam - Glacial Valley,,,,128.82,Eb,70.0,yes,bpm_outside_p10_p90,genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,bpm_within_p10_p90
191867408,Vibe (Original Mix),Sven Weisemann,Mojuba,Deep House,126.0,Bbm,85.0,no,,bpm_within_p10_p90; genre_in_top8; label_in_top15; artist_in_flow_corpus,key_in_top8
37394119,Yubu (Original Mix),Janeret,Rawax,Deep House,124.0,Ebm,85.0,no,,bpm_within_p10_p90; genre_in_top8; label_in_top15; artist_in_flow_corpus,key_in_top8
107562339,Perspective VINYL ONLY ,A1 Traumer,Berg Audio,Minimal,126.0,C,85.0,no,,bpm_within_p10_p90; genre_in_top8; label_in_top15; artist_in_flow_corpus,key_in_top8
183253021,The Fold ,Tecture,Berg Audio,Minimal,125.0,F,85.0,no,,bpm_within_p10_p90; genre_in_top8; label_in_top15; artist_in_flow_corpus,key_in_top8
227291565,Maze Dream (Sapphire Slows Remix),A Psychic Yes,Kalahari Oyster Cult,House,123.0,Gm,85.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
224520947,B1 Decay VINYL ONLY ,Grad_u,Redscale,Techno,123.14,Bm,85.0,yes,singleton_genre_in_flow,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
239596527,Funny You Should Say That (Harry Romero Remix),"Huxley, Montel",Incorrect,Tech House,124.0,Gm,85.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; artist_in_flow_corpus,label_in_top15
96037895,Never The Same ,Daniel Law,PURISM Wave,Minimal,122.0,Dm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
6372445,Sunday Loop - Traumer Stripped Down (Original Mix),DJ Deep,Gettraum,Deep House,126.0,Gm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
9604981,Passing By (Roger Gerressen Rmx) VINYL ONLY,Havantepe,BERG AUDIO,Tech House,125.94,Gm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
201744054,Subduction VINYL ONLY ,F2 Janeret,Berg Audio,Minimal,123.01,Am,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
18842866,Get It VINYL ONLY ,Ortella,Rutilance Recordings,Deep House,122.98,F#m,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
168324821,18273 (Original Mix),Andre Kronert,Odd Even,Techno (Raw / Deep / Hypnotic),123.0,Eb,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
141069789,D1 Sparse Hypnotimes VINYL ONLY ,Ion Ludwig,Trelik Records,Minimal,124.98,Fm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
263552281,Natural,Van Bonn & Luis Baltes,Van Bonn Records,Techno (Raw / Deep / Hypnotic),125.02,Cm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
144122634,Orbit Vinyl Only, Jonathan Ritzmann & Marius Krickow,Beste Modus,Minimal,125.99,Cm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
24046910,PEAK GROOVE//No Turning Back (Extended Mix),Adaru,,Tech House,125.0,Fm,100.0,no,,bpm_within_p10_p90; genre_in_top8; key_in_top8; label_in_top15; artist_in_flow_corpus,
